Hydrology,Scenario,Representative_w,Year,PNS_GWh,CO2_kt,BIOENERGY_GWh,DIESEL_GWh,FUEL OIL_GWh,GAS_GWh,GEOTHERMAL_GWh,HYDRO_GWh,IMPORTS_GWh,NUCLEAR_GWh,PV_GWh,WIND_GWh,GenerationTotal_GWh
Baseline,REF,w23,2025,0,6592.054079,1131.938876,1462.604736,6974.7096,871.817612,0,30547.22827,0,0,113.9897145,554.4841211,41656.77293
Baseline,REF,w23,2026,0,4665.937709,1121.879484,377.5122656,5552.464121,430.6807707,1484.080492,33559.43651,0,0,117.207239,546.4812918,43189.74217
Baseline,REF,w23,2027,0,3884.350969,622.6337484,39.58855018,4791.9686,561.0891569,1093.273207,36187.52113,0,0,117.813158,985.1674029,44399.05496
Baseline,REF,w23,2028,0,4314.900356,812.71571,194.0545352,5258.87102,425.8758882,1507.885848,36731.54582,0,0,114.3346538,996.5365094,46041.81999
Baseline,REF,w23,2029,0,4973.110483,1129.86074,1759.389241,3909.795263,1936.511849,1501.76582,36634.21437,0,0,112.4188823,991.6202604,47975.57643
Baseline,REF,w23,2030,0,1860.824678,610.5895492,0,2205.96421,444.3466111,838.8654902,44285.60528,0,0,685.5303263,967.6247522,50038.52621
Baseline,REF,w23,2031,0,2410.792744,617.2298079,180.8327871,2765.552361,453.6179461,807.9710919,44693.96487,0,0,698.3251392,1822.573259,52040.06726
Baseline,REF,w23,2032,0,2006.932857,617.318249,151.562919,2261.384457,439.0508076,816.7208585,47308.96482,0,0,693.586543,1833.0813,54121.66995
Baseline,REF,w23,2033,0,1224.716255,596.3689234,38.32621093,1354.947581,373.4528051,862.3284268,49013.84146,0,0,660.291645,2304.546296,55204.10335
Baseline,REF,w23,2034,0,928.3979876,574.8274012,0,1064.806818,237.1701604,840.7982907,50599.1364,0,0,685.3478287,2306.09852,56308.18542
Baseline,REF,w23,2035,0,826.0885484,622.6403942,0,982.7761892,125.6405503,850.3880585,51830.21511,31.41100842,0,687.3961392,2303.881674,57434.34913
Baseline,REF,w23,2036,1.597979894,976.6766264,613.6454606,0,1155.214131,186.9742251,821.7112982,51903.80963,31.30607497,0,681.0423941,3187.734916,58581.43813
Baseline,REF,w23,2037,0,703.6505385,613.5973693,39.34564333,783.5539057,124.7564824,837.7960799,52966.24932,63.61308308,0,703.7169973,3622.067949,59754.69683
Baseline,REF,w23,2038,0,937.743783,635.132833,0,1179.987279,26.0087605,862.6016486,53943.92348,0,0,655.9494869,3646.187285,60949.79077
Baseline,REF,w23,2039,0,1030.196297,563.9143264,0,1284.605728,63.34103452,866.1163571,55104.11212,0,0,689.1450554,3597.551965,62168.78658
Baseline,REF,w23,2040,0,763.8687486,502.3502298,0,916.1986627,88.52547148,879.306543,56287.25304,0,0,683.3201242,4055.208244,63412.16232
Baseline,REF,w23,2041,0,942.8515734,556.9656576,0,1158.624261,87.30232804,831.6303222,56388.00454,0,0,1251.185869,4406.692583,64680.40556
Baseline,REF,w23,2042,0,1294.030407,601.3223116,0,1622.733841,90.13610395,872.5933507,56983.99275,5.23875041,0,1276.738946,4521.257621,65974.01367
Baseline,REF,w23,2043,0,1951.479579,661.9795111,0,2401.584127,287.6201742,877.4403754,57207.1656,0,0,1282.510753,4575.193406,67293.49395
Baseline,REF,w23,2044,0,2473.244234,659.6829196,106.8298505,2848.393624,588.5717826,866.5652557,57668.84494,0,0,1310.717845,4589.75761,68639.36383
Baseline,REF,w23,2045,0,1419.683852,0,0,0,3724.603749,831.609306,59518.01082,0,0,1750.64843,4187.278802,70012.1511
