Hydrology,Scenario,Year,Tech,mean_MW,p10_MW,p50_MW,p90_MW,min_MW,max_MW,add_mean_MW,add_p10_MW,add_p50_MW,add_p90_MW
Baseline,BRIDGE,2025,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2026,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2027,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2028,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2029,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2030,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2031,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2032,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2033,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2034,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2035,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2036,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2037,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2038,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2039,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2040,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2041,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2042,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2043,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2044,BIOENERGY,150,150,150,150,150,150,0,0,0,0
Baseline,BRIDGE,2045,BIOENERGY,0,0,0,0,0,0,0,0,0,0
Baseline,BRIDGE,2046,BIOENERGY,0,0,0,0,0,0,0,0,0,0
Baseline,BRIDGE,2047,BIOENERGY,0,0,0,0,0,0,0,0,0,0
Baseline,BRIDGE,2048,BIOENERGY,0,0,0,0,0,0,0,0,0,0
Baseline,BRIDGE,2049,BIOENERGY,0,0,0,0,0,0,0,0,0,0
Baseline,BRIDGE,2050,BIOENERGY,0,0,0,0,0,0,0,0,0,0
Baseline,BRIDGE,2025,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2026,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2027,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2028,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2029,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2030,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2031,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2032,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2033,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2034,DIESEL,850,850,850,850,850,850,0,0,0,0
Baseline,BRIDGE,2035,DIESEL,550,550,550,550,550,550,0,0,0,0
Baseline,BRIDGE,2036,DIESEL,550,550,550,550,550,550,0,0,0,0
Baseline,BRIDGE,2037,DIESEL,550,550,550,550,550,550,0,0,0,0
Baseline,BRIDGE,2038,DIESEL,550,550,550,550,550,550,0,0,0,0
Baseline,BRIDGE,2039,DIESEL,550,550,550,550,550,550,0,0,0,0
