Hydrology,Scenario,w,Year,Tech,Capacity_MW
Baseline,REF,w23,2025,BIOENERGY,150
Baseline,REF,w23,2025,DIESEL,850
Baseline,REF,w23,2025,FUEL OIL,1420
Baseline,REF,w23,2025,GAS,475.36
Baseline,REF,w23,2025,GEOTHERMAL,0
Baseline,REF,w23,2025,HYDRO,5258
Baseline,REF,w23,2025,NUCLEAR,0
Baseline,REF,w23,2025,PV,50
Baseline,REF,w23,2025,WIND,155
Baseline,REF,w23,2026,BIOENERGY,150
Baseline,REF,w23,2026,DIESEL,850
Baseline,REF,w23,2026,FUEL OIL,1420
Baseline,REF,w23,2026,GAS,475.36
Baseline,REF,w23,2026,GEOTHERMAL,200
Baseline,REF,w23,2026,HYDRO,5757
Baseline,REF,w23,2026,NUCLEAR,0
Baseline,REF,w23,2026,PV,50
Baseline,REF,w23,2026,WIND,155
Baseline,REF,w23,2027,BIOENERGY,150
Baseline,REF,w23,2027,DIESEL,850
Baseline,REF,w23,2027,FUEL OIL,1420
Baseline,REF,w23,2027,GAS,475.36
Baseline,REF,w23,2027,GEOTHERMAL,200
Baseline,REF,w23,2027,HYDRO,6157
Baseline,REF,w23,2027,NUCLEAR,0
Baseline,REF,w23,2027,PV,50
Baseline,REF,w23,2027,WIND,280
Baseline,REF,w23,2028,BIOENERGY,150
Baseline,REF,w23,2028,DIESEL,850
Baseline,REF,w23,2028,FUEL OIL,1420
Baseline,REF,w23,2028,GAS,475.36
Baseline,REF,w23,2028,GEOTHERMAL,200
Baseline,REF,w23,2028,HYDRO,6307
Baseline,REF,w23,2028,NUCLEAR,0
Baseline,REF,w23,2028,PV,50
Baseline,REF,w23,2028,WIND,280
Baseline,REF,w23,2029,BIOENERGY,150
Baseline,REF,w23,2029,DIESEL,850
Baseline,REF,w23,2029,FUEL OIL,820
Baseline,REF,w23,2029,GAS,475.36
Baseline,REF,w23,2029,GEOTHERMAL,200
Baseline,REF,w23,2029,HYDRO,6307
Baseline,REF,w23,2029,NUCLEAR,0
Baseline,REF,w23,2029,PV,50
Baseline,REF,w23,2029,WIND,280
Baseline,REF,w23,2030,BIOENERGY,150
Baseline,REF,w23,2030,DIESEL,850
Baseline,REF,w23,2030,FUEL OIL,720
Baseline,REF,w23,2030,GAS,475.36
Baseline,REF,w23,2030,GEOTHERMAL,200
Baseline,REF,w23,2030,HYDRO,8102
Baseline,REF,w23,2030,NUCLEAR,0
Baseline,REF,w23,2030,PV,300
Baseline,REF,w23,2030,WIND,280
Baseline,REF,w23,2031,BIOENERGY,150
Baseline,REF,w23,2031,DIESEL,850
Baseline,REF,w23,2031,FUEL OIL,720
Baseline,REF,w23,2031,GAS,475.36
Baseline,REF,w23,2031,GEOTHERMAL,200
Baseline,REF,w23,2031,HYDRO,8102
Baseline,REF,w23,2031,NUCLEAR,0
Baseline,REF,w23,2031,PV,300
Baseline,REF,w23,2031,WIND,530
Baseline,REF,w23,2032,BIOENERGY,150
Baseline,REF,w23,2032,DIESEL,850
Baseline,REF,w23,2032,FUEL OIL,720
Baseline,REF,w23,2032,GAS,475.36
Baseline,REF,w23,2032,GEOTHERMAL,200
Baseline,REF,w23,2032,HYDRO,8702
Baseline,REF,w23,2032,NUCLEAR,0
Baseline,REF,w23,2032,PV,300
Baseline,REF,w23,2032,WIND,530
Baseline,REF,w23,2033,BIOENERGY,150
Baseline,REF,w23,2033,DIESEL,850
Baseline,REF,w23,2033,FUEL OIL,720
Baseline,REF,w23,2033,GAS,475.36
Baseline,REF,w23,2033,GEOTHERMAL,200
Baseline,REF,w23,2033,HYDRO,9302
Baseline,REF,w23,2033,NUCLEAR,0
Baseline,REF,w23,2033,PV,300
Baseline,REF,w23,2033,WIND,655
Baseline,REF,w23,2034,BIOENERGY,150
Baseline,REF,w23,2034,DIESEL,850
Baseline,REF,w23,2034,FUEL OIL,720
Baseline,REF,w23,2034,GAS,475.36
Baseline,REF,w23,2034,GEOTHERMAL,200
Baseline,REF,w23,2034,HYDRO,9602
Baseline,REF,w23,2034,NUCLEAR,0
Baseline,REF,w23,2034,PV,300
Baseline,REF,w23,2034,WIND,655
Baseline,REF,w23,2035,BIOENERGY,150
Baseline,REF,w23,2035,DIESEL,550
Baseline,REF,w23,2035,FUEL OIL,720
Baseline,REF,w23,2035,GAS,475.36
Baseline,REF,w23,2035,GEOTHERMAL,200
Baseline,REF,w23,2035,HYDRO,9902
Baseline,REF,w23,2035,NUCLEAR,0
Baseline,REF,w23,2035,PV,300
Baseline,REF,w23,2035,WIND,655
Baseline,REF,w23,2036,BIOENERGY,150
Baseline,REF,w23,2036,DIESEL,550
