Hydrology,Scenario,Year,Tech,mean_MW,p10_MW,p50_MW,p90_MW,min_MW,max_MW
Baseline,BRIDGE,2025,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2025,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2025,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,BRIDGE,2025,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2025,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2025,HYDRO,5258,5258,5258,5258,5258,5258
Baseline,BRIDGE,2025,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2025,PV,978.5,780,950,1150,750,1350
Baseline,BRIDGE,2025,WIND,437.4,375,455,455,375,455
Baseline,BRIDGE,2026,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2026,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2026,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,BRIDGE,2026,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2026,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2026,HYDRO,5757,5757,5757,5757,5757,5757
Baseline,BRIDGE,2026,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2026,PV,978.5,780,950,1150,750,1350
Baseline,BRIDGE,2026,WIND,437.4,375,455,455,375,455
Baseline,BRIDGE,2027,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2027,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2027,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,BRIDGE,2027,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2027,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2027,HYDRO,6157,6157,6157,6157,6157,6157
Baseline,BRIDGE,2027,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2027,PV,1221,1030,1200,1400,950,1600
Baseline,BRIDGE,2027,WIND,539.9,375,580,580,375,580
Baseline,BRIDGE,2028,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2028,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2028,FUEL OIL,1420,1420,1420,1420,1420,1420
Baseline,BRIDGE,2028,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2028,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2028,HYDRO,6307,6307,6307,6307,6307,6307
Baseline,BRIDGE,2028,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2028,PV,1403.5,1250,1400,1650,1200,1650
Baseline,BRIDGE,2028,WIND,624.9,447,705,705,375,705
Baseline,BRIDGE,2029,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2029,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2029,FUEL OIL,820,820,820,820,820,820
Baseline,BRIDGE,2029,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2029,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2029,HYDRO,6307,6307,6307,6307,6307,6307
Baseline,BRIDGE,2029,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2029,PV,1403.5,1250,1400,1650,1200,1650
Baseline,BRIDGE,2029,WIND,651.15,447,705,830,375,830
Baseline,BRIDGE,2030,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2030,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2030,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2030,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2030,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2030,HYDRO,8102,8102,8102,8102,8102,8102
Baseline,BRIDGE,2030,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2030,PV,1646,1498,1650,1900,1400,1900
Baseline,BRIDGE,2030,WIND,837.55,625,830,955,580,955
Baseline,BRIDGE,2031,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2031,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2031,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2031,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2031,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2031,HYDRO,8102,8102,8102,8102,8102,8102
Baseline,BRIDGE,2031,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2031,PV,1740.2,1530,1730,1900,1500,2100
Baseline,BRIDGE,2031,WIND,1075.45,1080,1080,1080,830,1080
Baseline,BRIDGE,2032,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2032,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2032,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2032,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2032,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2032,HYDRO,8495,8102,8402,8702,8102,9902
Baseline,BRIDGE,2032,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2032,PV,2490.2,2280,2480,2650,2250,2850
Baseline,BRIDGE,2032,WIND,1197.95,1205,1205,1205,955,1205
Baseline,BRIDGE,2033,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2033,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2033,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2033,GAS,475.36,475.36,475.36,475.36,475.36,475.36
Baseline,BRIDGE,2033,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2033,HYDRO,8561,8102,8402,8732,8102,9902
Baseline,BRIDGE,2033,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2033,PV,3145.2,2950,3150,3400,2750,3600
Baseline,BRIDGE,2033,WIND,1311.7,1205,1330,1330,1080,1330
Baseline,BRIDGE,2034,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2034,DIESEL,850,850,850,850,850,850
Baseline,BRIDGE,2034,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2034,GAS,478.36,475.36,475.36,475.36,475.36,775.36
Baseline,BRIDGE,2034,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2034,HYDRO,8669,8402,8702,9002,8102,10202
Baseline,BRIDGE,2034,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2034,PV,3147.7,2950,3150,3400,2750,3600
Baseline,BRIDGE,2034,WIND,1399.2,1330,1455,1455,1125,1455
Baseline,BRIDGE,2035,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2035,DIESEL,550,550,550,550,550,550
Baseline,BRIDGE,2035,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2035,GAS,514.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2035,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2035,HYDRO,8744,8402,8702,9302,8102,10202
Baseline,BRIDGE,2035,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2035,PV,3150.2,2950,3150,3400,2750,3600
Baseline,BRIDGE,2035,WIND,1401.7,1330,1455,1455,1125,1455
Baseline,BRIDGE,2036,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2036,DIESEL,550,550,550,550,550,550
Baseline,BRIDGE,2036,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2036,GAS,514.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2036,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2036,HYDRO,8744,8402,8702,9302,8102,10202
Baseline,BRIDGE,2036,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2036,PV,4748,4530,4730,4900,4450,5100
Baseline,BRIDGE,2036,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2037,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2037,DIESEL,550,550,550,550,550,550
Baseline,BRIDGE,2037,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2037,GAS,517.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2037,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2037,HYDRO,8744,8402,8702,9302,8102,10202
Baseline,BRIDGE,2037,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2037,PV,4917.52,4700,4900,5218,4530,5418
Baseline,BRIDGE,2037,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2038,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2038,DIESEL,550,550,550,550,550,550
Baseline,BRIDGE,2038,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2038,GAS,517.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2038,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2038,HYDRO,8753,8402,8702,9302,8102,10202
Baseline,BRIDGE,2038,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2038,PV,5275.22,5006.2,5418,5418,4900,5418
Baseline,BRIDGE,2038,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2039,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2039,DIESEL,550,550,550,550,550,550
Baseline,BRIDGE,2039,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2039,GAS,517.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2039,GEOTHERMAL,0,0,0,0,0,0
Baseline,BRIDGE,2039,HYDRO,8885,8402,9002,9302,8102,10502
Baseline,BRIDGE,2039,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2039,PV,5361.06,5218,5418,5418,4900,5418
Baseline,BRIDGE,2039,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2040,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2040,DIESEL,300,300,300,300,300,300
Baseline,BRIDGE,2040,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2040,GAS,520.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2040,GEOTHERMAL,8,0,0,0,0,200
Baseline,BRIDGE,2040,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2040,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2040,PV,5369.94,5218,5418,5418,5018,5418
Baseline,BRIDGE,2040,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2041,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2041,DIESEL,300,300,300,300,300,300
Baseline,BRIDGE,2041,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2041,GAS,520.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2041,GEOTHERMAL,256,0,200,400,0,600
Baseline,BRIDGE,2041,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2041,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2041,PV,5404,5418,5418,5418,5018,5418
Baseline,BRIDGE,2041,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2042,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2042,DIESEL,300,300,300,300,300,300
Baseline,BRIDGE,2042,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2042,GAS,520.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2042,GEOTHERMAL,436,200,400,600,0,800
Baseline,BRIDGE,2042,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2042,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2042,PV,5404,5418,5418,5418,5018,5418
Baseline,BRIDGE,2042,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2043,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2043,DIESEL,300,300,300,300,300,300
Baseline,BRIDGE,2043,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2043,GAS,520.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2043,GEOTHERMAL,496,400,400,600,200,800
Baseline,BRIDGE,2043,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2043,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2043,PV,5404,5418,5418,5418,5018,5418
Baseline,BRIDGE,2043,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2044,BIOENERGY,150,150,150,150,150,150
Baseline,BRIDGE,2044,DIESEL,300,300,300,300,300,300
Baseline,BRIDGE,2044,FUEL OIL,720,720,720,720,720,720
Baseline,BRIDGE,2044,GAS,520.36,475.36,475.36,775.36,475.36,1075.36
Baseline,BRIDGE,2044,GEOTHERMAL,502,400,400,600,200,800
Baseline,BRIDGE,2044,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2044,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2044,PV,5404,5418,5418,5418,5018,5418
Baseline,BRIDGE,2044,WIND,1580,1580,1580,1580,1580,1580
Baseline,BRIDGE,2045,BIOENERGY,0,0,0,0,0,0
Baseline,BRIDGE,2045,DIESEL,0,0,0,0,0,0
Baseline,BRIDGE,2045,FUEL OIL,0,0,0,0,0,0
Baseline,BRIDGE,2045,GAS,1631,1300,1600,1900,900,1900
Baseline,BRIDGE,2045,GEOTHERMAL,502,400,400,600,200,800
Baseline,BRIDGE,2045,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2045,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2045,PV,5354,5368,5368,5368,4968,5368
Baseline,BRIDGE,2045,WIND,1505,1505,1505,1505,1505,1505
Baseline,BRIDGE,2046,BIOENERGY,0,0,0,0,0,0
Baseline,BRIDGE,2046,DIESEL,0,0,0,0,0,0
Baseline,BRIDGE,2046,FUEL OIL,0,0,0,0,0,0
Baseline,BRIDGE,2046,GAS,1807,1500,1900,1900,1200,1900
Baseline,BRIDGE,2046,GEOTHERMAL,502,400,400,600,200,800
Baseline,BRIDGE,2046,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2046,NUCLEAR,0,0,0,0,0,0
Baseline,BRIDGE,2046,PV,5354,5368,5368,5368,4968,5368
Baseline,BRIDGE,2046,WIND,1505,1505,1505,1505,1505,1505
Baseline,BRIDGE,2047,BIOENERGY,0,0,0,0,0,0
Baseline,BRIDGE,2047,DIESEL,0,0,0,0,0,0
Baseline,BRIDGE,2047,FUEL OIL,0,0,0,0,0,0
Baseline,BRIDGE,2047,GAS,1886,1900,1900,1900,1500,1900
Baseline,BRIDGE,2047,GEOTHERMAL,502,400,400,600,200,800
Baseline,BRIDGE,2047,HYDRO,9029,8702,9002,9602,8402,10802
Baseline,BRIDGE,2047,NUCLEAR,0,0,0,0,0,0
