Hydrology,Scenario,w,Component,MUSD
Baseline,BRIDGE,w1,TotalCost_w,27462.1671
Baseline,BRIDGE,w10,TotalCost_w,27872.56531
Baseline,BRIDGE,w100,TotalCost_w,27883.53175
Baseline,BRIDGE,w11,TotalCost_w,28250.38133
Baseline,BRIDGE,w12,TotalCost_w,28114.49537
Baseline,BRIDGE,w13,TotalCost_w,28680.26728
Baseline,BRIDGE,w14,TotalCost_w,27812.15777
Baseline,BRIDGE,w15,TotalCost_w,27820.6564
Baseline,BRIDGE,w16,TotalCost_w,28051.72543
Baseline,BRIDGE,w17,TotalCost_w,27631.98675
Baseline,BRIDGE,w18,TotalCost_w,28067.82078
Baseline,BRIDGE,w19,TotalCost_w,27454.95714
Baseline,BRIDGE,w2,TotalCost_w,28419.98905
Baseline,BRIDGE,w20,TotalCost_w,29429.18057
Baseline,BRIDGE,w21,TotalCost_w,28096.97821
Baseline,BRIDGE,w22,TotalCost_w,30829.81434
Baseline,BRIDGE,w23,TotalCost_w,28007.48214
Baseline,BRIDGE,w24,TotalCost_w,28416.97714
Baseline,BRIDGE,w25,TotalCost_w,27951.19233
Baseline,BRIDGE,w26,TotalCost_w,28137.09176
Baseline,BRIDGE,w27,TotalCost_w,28299.84193
Baseline,BRIDGE,w28,TotalCost_w,27739.65036
Baseline,BRIDGE,w29,TotalCost_w,28170.51804
Baseline,BRIDGE,w3,TotalCost_w,27671.26554
Baseline,BRIDGE,w30,TotalCost_w,28758.48677
Baseline,BRIDGE,w31,TotalCost_w,28417.02457
Baseline,BRIDGE,w32,TotalCost_w,28471.07636
Baseline,BRIDGE,w33,TotalCost_w,27535.82347
Baseline,BRIDGE,w34,TotalCost_w,27674.13567
Baseline,BRIDGE,w35,TotalCost_w,27591.10732
Baseline,BRIDGE,w36,TotalCost_w,28590.77527
Baseline,BRIDGE,w37,TotalCost_w,28044.87455
Baseline,BRIDGE,w38,TotalCost_w,31197.14985
Baseline,BRIDGE,w39,TotalCost_w,27927.80966
Baseline,BRIDGE,w4,TotalCost_w,28268.49355
Baseline,BRIDGE,w40,TotalCost_w,28622.21666
Baseline,BRIDGE,w41,TotalCost_w,27561.55435
Baseline,BRIDGE,w42,TotalCost_w,28270.49393
Baseline,BRIDGE,w43,TotalCost_w,27957.09197
Baseline,BRIDGE,w44,TotalCost_w,27741.51401
Baseline,BRIDGE,w45,TotalCost_w,27469.34322
Baseline,BRIDGE,w46,TotalCost_w,28316.96736
Baseline,BRIDGE,w47,TotalCost_w,28268.32186
Baseline,BRIDGE,w48,TotalCost_w,28106.92538
Baseline,BRIDGE,w49,TotalCost_w,27737.1368
Baseline,BRIDGE,w5,TotalCost_w,28764.35079
Baseline,BRIDGE,w50,TotalCost_w,27598.51636
Baseline,BRIDGE,w51,TotalCost_w,27830.05333
Baseline,BRIDGE,w52,TotalCost_w,27608.88628
Baseline,BRIDGE,w53,TotalCost_w,30184.14839
Baseline,BRIDGE,w54,TotalCost_w,29439.68256
Baseline,BRIDGE,w55,TotalCost_w,31211.81346
Baseline,BRIDGE,w56,TotalCost_w,28048.63576
Baseline,BRIDGE,w57,TotalCost_w,28329.54735
Baseline,BRIDGE,w58,TotalCost_w,30923.73793
Baseline,BRIDGE,w59,TotalCost_w,28697.33979
Baseline,BRIDGE,w6,TotalCost_w,27923.73364
Baseline,BRIDGE,w60,TotalCost_w,27995.58926
Baseline,BRIDGE,w61,TotalCost_w,27608.52534
Baseline,BRIDGE,w62,TotalCost_w,28186.56549
Baseline,BRIDGE,w63,TotalCost_w,27596.8951
Baseline,BRIDGE,w64,TotalCost_w,28813.78017
Baseline,BRIDGE,w65,TotalCost_w,27559.88408
Baseline,BRIDGE,w66,TotalCost_w,27425.75093
Baseline,BRIDGE,w67,TotalCost_w,27730.42137
Baseline,BRIDGE,w68,TotalCost_w,27666.50821
Baseline,BRIDGE,w69,TotalCost_w,27539.09914
Baseline,BRIDGE,w7,TotalCost_w,27671.30987
Baseline,BRIDGE,w70,TotalCost_w,28289.92298
Baseline,BRIDGE,w71,TotalCost_w,27955.69746
