Hydrology,Scenario,Representative_w,Year,Month,Tech,GWh,Date
Baseline,REF,w23,2025,1,BIOENERGY,92.85496353,2025-01-01
Baseline,REF,w23,2025,1,DIESEL,185.7596543,2025-01-01
Baseline,REF,w23,2025,1,FUEL OIL,838.5738103,2025-01-01
Baseline,REF,w23,2025,1,GAS,65.95951313,2025-01-01
Baseline,REF,w23,2025,1,GEOTHERMAL,0,2025-01-01
Baseline,REF,w23,2025,1,HYDRO,2215.369408,2025-01-01
Baseline,REF,w23,2025,1,IMPORTS,0,2025-01-01
Baseline,REF,w23,2025,1,NUCLEAR,0,2025-01-01
Baseline,REF,w23,2025,1,PV,9.816097869,2025-01-01
Baseline,REF,w23,2025,1,WIND,50.90529803,2025-01-01
Baseline,REF,w23,2025,2,BIOENERGY,95.94163062,2025-02-01
Baseline,REF,w23,2025,2,DIESEL,67.12420126,2025-02-01
Baseline,REF,w23,2025,2,FUEL OIL,835.4808784,2025-02-01
Baseline,REF,w23,2025,2,GAS,166.4059366,2025-02-01
Baseline,REF,w23,2025,2,GEOTHERMAL,0,2025-02-01
Baseline,REF,w23,2025,2,HYDRO,2215.578765,2025-02-01
Baseline,REF,w23,2025,2,IMPORTS,0,2025-02-01
Baseline,REF,w23,2025,2,NUCLEAR,0,2025-02-01
Baseline,REF,w23,2025,2,PV,10.34355476,2025-02-01
Baseline,REF,w23,2025,2,WIND,51.07063778,2025-02-01
Baseline,REF,w23,2025,3,BIOENERGY,95.20983671,2025-03-01
Baseline,REF,w23,2025,3,DIESEL,111.5588521,2025-03-01
Baseline,REF,w23,2025,3,FUEL OIL,265.3933923,2025-03-01
Baseline,REF,w23,2025,3,GAS,0,2025-03-01
Baseline,REF,w23,2025,3,GEOTHERMAL,0,2025-03-01
Baseline,REF,w23,2025,3,HYDRO,2974.546522,2025-03-01
Baseline,REF,w23,2025,3,IMPORTS,0,2025-03-01
Baseline,REF,w23,2025,3,NUCLEAR,0,2025-03-01
Baseline,REF,w23,2025,3,PV,8.596744899,2025-03-01
Baseline,REF,w23,2025,3,WIND,46.63514348,2025-03-01
Baseline,REF,w23,2025,4,BIOENERGY,98.09217511,2025-04-01
Baseline,REF,w23,2025,4,DIESEL,199.8775153,2025-04-01
Baseline,REF,w23,2025,4,FUEL OIL,195.5904167,2025-04-01
Baseline,REF,w23,2025,4,GAS,0,2025-04-01
Baseline,REF,w23,2025,4,GEOTHERMAL,0,2025-04-01
Baseline,REF,w23,2025,4,HYDRO,2977.209506,2025-04-01
Baseline,REF,w23,2025,4,IMPORTS,0,2025-04-01
Baseline,REF,w23,2025,4,NUCLEAR,0,2025-04-01
Baseline,REF,w23,2025,4,PV,8.463607548,2025-04-01
Baseline,REF,w23,2025,4,WIND,40.51188994,2025-04-01
Baseline,REF,w23,2025,5,BIOENERGY,87.71542913,2025-05-01
Baseline,REF,w23,2025,5,DIESEL,108.5226746,2025-05-01
Baseline,REF,w23,2025,5,FUEL OIL,194.1462211,2025-05-01
Baseline,REF,w23,2025,5,GAS,0,2025-05-01
Baseline,REF,w23,2025,5,GEOTHERMAL,0,2025-05-01
Baseline,REF,w23,2025,5,HYDRO,3061.719939,2025-05-01
Baseline,REF,w23,2025,5,IMPORTS,0,2025-05-01
Baseline,REF,w23,2025,5,NUCLEAR,0,2025-05-01
Baseline,REF,w23,2025,5,PV,9.192761643,2025-05-01
Baseline,REF,w23,2025,5,WIND,41.02649015,2025-05-01
Baseline,REF,w23,2025,6,BIOENERGY,94.73720868,2025-06-01
Baseline,REF,w23,2025,6,DIESEL,98.22835846,2025-06-01
Baseline,REF,w23,2025,6,FUEL OIL,244.5820714,2025-06-01
