Hydrology,Scenario,Representative_w,Date,Year,Month,MW,ENS_GWh,CO2_kt
Baseline,REF,w23,2025-01-01,2025,1,240.2249129,0,785.2247322
Baseline,REF,w23,2025-02-01,2025,2,239.0240003,0,735.8390383
Baseline,REF,w23,2025-03-01,2025,3,243.1903119,0,278.2518292
Baseline,REF,w23,2025-04-01,2025,4,244.4267438,0,288.6058484
Baseline,REF,w23,2025-05-01,2025,5,243.2169108,0,222.6607648
Baseline,REF,w23,2025-06-01,2025,6,237.8651957,0,253.1786881
Baseline,REF,w23,2025-07-01,2025,7,234.7117399,0,232.639938
Baseline,REF,w23,2025-08-01,2025,8,234.0693722,0,737.29826
Baseline,REF,w23,2025-09-01,2025,9,239.5397644,0,741.2213093
Baseline,REF,w23,2025-10-01,2025,10,240.3247001,0,704.480751
Baseline,REF,w23,2025-11-01,2025,11,245.1879513,0,791.7505642
Baseline,REF,w23,2025-12-01,2025,12,251.0498501,0,820.9023559
Baseline,REF,w23,2026-01-01,2026,1,249.0651897,0,653.7107887
Baseline,REF,w23,2026-02-01,2026,2,247.8200835,0,601.9901638
Baseline,REF,w23,2026-03-01,2026,3,252.1397154,0,96.7691522
Baseline,REF,w23,2026-04-01,2026,4,253.421648,0,81.85936426
Baseline,REF,w23,2026-05-01,2026,5,252.1672931,0,77.84267116
Baseline,REF,w23,2026-06-01,2026,6,246.6186349,0,80.26803687
Baseline,REF,w23,2026-07-01,2026,7,243.349132,0,90.59945913
Baseline,REF,w23,2026-08-01,2026,8,242.6831251,0,509.6612035
Baseline,REF,w23,2026-09-01,2026,9,248.3548277,0,556.3198425
Baseline,REF,w23,2026-10-01,2026,10,249.1686491,0,563.4819611
Baseline,REF,w23,2026-11-01,2026,11,254.2108679,0,648.9723775
Baseline,REF,w23,2026-12-01,2026,12,260.2884846,0,704.4626887
Baseline,REF,w23,2027-01-01,2027,1,256.039015,0,450.0617182
Baseline,REF,w23,2027-02-01,2027,2,254.7590459,0,527.5834694
Baseline,REF,w23,2027-03-01,2027,3,259.1996274,0,29.04442129
Baseline,REF,w23,2027-04-01,2027,4,260.5174541,0,16.33378266
Baseline,REF,w23,2027-05-01,2027,5,259.2279774,0,13.3364012
Baseline,REF,w23,2027-06-01,2027,6,253.5239567,0,24.40430606
Baseline,REF,w23,2027-07-01,2027,7,250.1629077,0,23.29204481
Baseline,REF,w23,2027-08-01,2027,8,249.4782526,0,528.7667331
Baseline,REF,w23,2027-09-01,2027,9,255.3087629,0,534.5041742
Baseline,REF,w23,2027-10-01,2027,10,256.1453713,0,521.956851
Baseline,REF,w23,2027-11-01,2027,11,261.3287722,0,601.3080258
Baseline,REF,w23,2027-12-01,2027,12,267.5765622,0,613.7590415
Baseline,REF,w23,2028-01-01,2028,1,265.5124586,0,652.6089753
Baseline,REF,w23,2028-02-01,2028,2,264.1851306,0,496.6570836
Baseline,REF,w23,2028-03-01,2028,3,268.7900136,0,23.05819406
Baseline,REF,w23,2028-04-01,2028,4,270.1565999,0,23.90024792
Baseline,REF,w23,2028-05-01,2028,5,268.8194125,0,30.5409594
Baseline,REF,w23,2028-06-01,2028,6,262.9043431,0,31.29015275
Baseline,REF,w23,2028-07-01,2028,7,259.4189353,0,31.30828355
Baseline,REF,w23,2028-08-01,2028,8,258.708948,0,538.5280469
Baseline,REF,w23,2028-09-01,2028,9,264.7551871,0,640.1337669
Baseline,REF,w23,2028-10-01,2028,10,265.62275,0,500.6141235
Baseline,REF,w23,2028-11-01,2028,11,270.9979368,0,624.0176431
Baseline,REF,w23,2028-12-01,2028,12,277.476895,0,722.2428788
Baseline,REF,w23,2029-01-01,2029,1,276.6639818,0,718.1955572
Baseline,REF,w23,2029-02-01,2029,2,275.280906,0,547.9541689
Baseline,REF,w23,2029-03-01,2029,3,280.0791942,0,121.7630768
Baseline,REF,w23,2029-04-01,2029,4,281.5031771,0,110.1114819
Baseline,REF,w23,2029-05-01,2029,5,280.1098278,0,106.1627566
Baseline,REF,w23,2029-06-01,2029,6,273.9463255,0,32.85394341
Baseline,REF,w23,2029-07-01,2029,7,270.3145305,0,88.85159173
Baseline,REF,w23,2029-08-01,2029,8,269.5747238,0,549.3082673
Baseline,REF,w23,2029-09-01,2029,9,275.874905,0,623.5971829
