Hydrology,Scenario,Month,p10,p50,p90,min,max
Baseline,REF,1,164.8325,169.275091,202.3930283,164.8325,427.8325
Baseline,REF,2,174.08,252.5825,276.295707,164.8325,471.7832775
Baseline,REF,3,164.8325,164.8325,221.2308697,164.8325,426.8325
Baseline,REF,4,164.8325,164.8325,223.6648634,164.8325,470.0061815
Baseline,REF,5,164.8325,164.8325,226.1221201,164.8325,480.741721
Baseline,REF,6,164.8325,164.8325,259.6668668,164.8325,514.5825
Baseline,REF,7,164.8325,245.9053781,337.3672831,164.8325,543.9296692
Baseline,REF,8,164.8325,231.9536484,333.0987999,164.8325,526.5122051
Baseline,REF,9,164.8325,214.3777172,302.5652795,164.8325,478.3374454
Baseline,REF,10,164.8325,204.6612285,279.8583771,164.8325,441.8011623
Baseline,REF,11,164.8325,190.6670913,254.8325,164.8325,407.23227
Baseline,REF,12,164.8325,169.275091,202.3930283,164.8325,427.8325
Baseline,BRIDGE,1,236.0223244,261.83,286.0058736,211.1718753,366.6361789
Baseline,BRIDGE,2,252.5825,261.83,308.9174783,218.1017664,523.3756112
Baseline,BRIDGE,3,262.4209965,328.5191932,395.2490497,208.4402935,587.2936375
Baseline,BRIDGE,4,261.83,346.6781538,477.5874756,197.8272259,650.0825
Baseline,BRIDGE,5,261.83,376.4421527,560.0825,174.08,659.33
Baseline,BRIDGE,6,264.9382191,419.314047,650.0825,171.4520784,659.33
Baseline,BRIDGE,7,296.0259119,467.5762799,659.33,244.5948268,659.33
Baseline,BRIDGE,8,294.1266455,462.2870713,650.0825,252.5825,659.33
Baseline,BRIDGE,9,292.1900589,451.4878637,650.0825,252.5825,659.33
Baseline,BRIDGE,10,285.4703974,437.1400329,647.3707825,252.5825,659.33
Baseline,BRIDGE,11,275.5931145,420.5957366,641.0057772,252.5825,659.33
Baseline,BRIDGE,12,236.0223244,261.83,286.0058736,211.1718753,366.6361789
Baseline,NZT,1,241.6543024,262.0124319,308.0639672,209.3783411,388.2449673
Baseline,NZT,2,256.2126931,266.4026485,340.5145806,169.4323502,491.7101552
Baseline,NZT,3,269.1700179,342.5825,430.3345468,204.8857404,596.262652
Baseline,NZT,4,261.83,377.3197905,475.4975958,210.6943328,650.0825
Baseline,NZT,5,261.83,424.9475742,554.4667962,209.6907026,659.33
Baseline,NZT,6,273.1256833,473.6218615,591.2424565,164.8325,659.33
Baseline,NZT,7,326.7925396,560.0825,650.0825,252.5825,659.33
Baseline,NZT,8,318.9148543,540.3440521,650.0825,252.5825,659.33
Baseline,NZT,9,315.2601197,552.1973372,650.0825,252.5825,659.33
Baseline,NZT,10,306.521894,546.6339691,650.0825,252.5825,659.33
Baseline,NZT,11,294.2518817,554.9820011,650.0825,261.83,659.33
Baseline,NZT,12,241.6543024,262.0124319,308.0639672,209.3783411,388.2449673
Adverse,REF,1,164.8325,176.3474622,218.6765036,164.8325,305.8950503
