Hydrology,Scenario,w,PNS_GWh,CO2_kt
Baseline,BRIDGE,w1,3.286740837,51456.665
Baseline,BRIDGE,w10,25.89813119,41055.69385
Baseline,BRIDGE,w100,45.05542702,55942.47747
Baseline,BRIDGE,w11,46.38973377,38732.31023
Baseline,BRIDGE,w12,16.81456594,36789.23966
Baseline,BRIDGE,w13,0.2468255109,36306.31252
Baseline,BRIDGE,w14,50.02901599,57262.82239
Baseline,BRIDGE,w15,58.31749746,48559.47008
Baseline,BRIDGE,w16,5.85712212,38875.85311
Baseline,BRIDGE,w17,3.881875461,49453.87898
Baseline,BRIDGE,w18,1.34795024,43487.55096
Baseline,BRIDGE,w19,69.57626117,49674.22528
Baseline,BRIDGE,w2,61.35834715,37773.30318
Baseline,BRIDGE,w20,0.9694534422,34924.53125
Baseline,BRIDGE,w21,0,39967.78184
Baseline,BRIDGE,w22,2.369227431,35025.83546
Baseline,BRIDGE,w23,1.597979894,41199.62337
Baseline,BRIDGE,w24,0,35766.48832
Baseline,BRIDGE,w25,76.55409372,48845.91995
Baseline,BRIDGE,w26,0,43704.42949
Baseline,BRIDGE,w27,4.869482593,36264.04059
Baseline,BRIDGE,w28,16.81697829,46769.28832
Baseline,BRIDGE,w29,0,39192.51812
Baseline,BRIDGE,w3,102.6844685,58651.23787
Baseline,BRIDGE,w30,1.184463047,34658.86846
Baseline,BRIDGE,w31,3.251614087,37654.82088
Baseline,BRIDGE,w32,0.7810453895,39406.81471
Baseline,BRIDGE,w33,59.75949059,48254.77619
Baseline,BRIDGE,w34,23.74922851,43258.73382
Baseline,BRIDGE,w35,2.077964319,50933.41401
Baseline,BRIDGE,w36,1.928976205,36333.73598
Baseline,BRIDGE,w37,2.8290066,37914.46146
Baseline,BRIDGE,w38,2.977714052,34550.42048
Baseline,BRIDGE,w39,0,41609.71082
Baseline,BRIDGE,w4,0.4750702026,35419.04366
Baseline,BRIDGE,w40,0,37302.19244
Baseline,BRIDGE,w41,2.528400431,49185.16432
Baseline,BRIDGE,w42,1.900732232,38699.09021
Baseline,BRIDGE,w43,43.68476464,41372.88157
Baseline,BRIDGE,w44,65.09283686,52922.01075
Baseline,BRIDGE,w45,2.991625613,48898.52462
Baseline,BRIDGE,w46,0.1002330184,36712.26243
Baseline,BRIDGE,w47,2.548574296,38576.68652
Baseline,BRIDGE,w48,0,40387.40462
Baseline,BRIDGE,w49,26.82866121,48846.99181
Baseline,BRIDGE,w5,0,36741.96343
Baseline,BRIDGE,w50,9.754950932,47327.74773
