Hydrology,Scenario,Metric,Mean,P10,P50,P90,Min,Max,EnsembleN
Baseline,REF,TotalCost_MUSD,33000.13688,30348.56772,31192.8911,32952.01347,30085.31325,61987.42061,100
Baseline,REF,CO2_kt,55183.85703,48383.33866,55311.21818,63122.36781,34411.93934,71800.2799,100
Baseline,REF,ENS_GWh,39.86115429,1.341095113,26.27975247,88.73186921,0,339.0949613,100
Baseline,REF,CAPEX_MUSD,17223.61093,15048.96986,15543.26264,17529.68974,14632.73316,41537.78232,100
Baseline,REF,InstalledCapacity2050_MW,15892.7,15032,15407,16707,14907,20307,100
Baseline,BRIDGE,TotalCost_MUSD,28181.88705,27561.7727,28023.72853,28759.07317,27425.75093,31211.81346,100
Baseline,BRIDGE,CO2_kt,43360.1242,35731.74385,41436.63529,51510.47292,32097.36519,58651.23787,100
Baseline,BRIDGE,ENS_GWh,20.53403264,0,5.027330206,62.60603104,0,102.6844685,100
Baseline,BRIDGE,CAPEX_MUSD,15315.5109,14260.28356,15328.11447,16306.83595,13761.69866,18665.84608,100
Baseline,BRIDGE,InstalledCapacity2050_MW,18314,17775,18175,18775,17475,19975,100
Baseline,NZT,TotalCost_MUSD,31268.87253,30087.47085,30738.06837,32832.57841,29816.83382,34386.65982,100
Baseline,NZT,CO2_kt,22021.43257,20354.35854,21969.50647,23539.45304,18735.86258,27564.49331,100
Baseline,NZT,ENS_GWh,26.26017815,0,8.988690589,68.60526683,0,290.2097972,100
Baseline,NZT,CAPEX_MUSD,18308.84843,17107.70161,18031.99125,19773.14544,16651.23374,20694.69337,100
Baseline,NZT,InstalledCapacity2050_MW,19523.05,18565,19475,20585,18475,20875,100
Adverse,REF,TotalCost_MUSD,52024.17306,50452.98524,51836.81654,53957.43002,50140.97221,55343.00652,5
Adverse,REF,CO2_kt,173445.9897,156713.4261,179509.8643,184499.804,145477.857,185148.1248,5
Adverse,REF,ENS_GWh,95.96806561,8.108207061,30.30759311,245.2358921,0,367.6550257,5
Adverse,REF,CAPEX_MUSD,23741.75858,22003.98001,22601.03631,26502.9267,21985.97689,28333.0435,5
Adverse,REF,InstalledCapacity2050_MW,18437,17787,18107,19407,17607,20207,5
Adverse,BRIDGE,TotalCost_MUSD,43785.03844,42466.19004,44003.12873,45048.91696,42198.95755,45532.45055,5
Adverse,BRIDGE,CO2_kt,122439.1103,112635.4159,122851.2866,132440.2239,112634.2353,134055.4336,5
Adverse,BRIDGE,ENS_GWh,9.394032854,0,0,25.90094299,0,35.56438643,5
Adverse,BRIDGE,CAPEX_MUSD,22604.47753,20816.6956,22823.32244,24275.02111,20426.12202,24634.33109,5
Adverse,BRIDGE,InstalledCapacity2050_MW,21595,20795,21775,22295,20675,22375,5
Adverse,NZT,TotalCost_MUSD,50864.16286,50470.41695,50783.61526,51270.2319,50311.69239,51317.15375,5
Adverse,NZT,CO2_kt,62563.04843,61973.64714,62520.62745,63200.29508,61824.03418,63456.44753,5
Adverse,NZT,ENS_GWh,285.4924919,243.6765525,270.3075333,340.9029979,237.7565902,370.8313091,5
Adverse,NZT,CAPEX_MUSD,24109.07654,23842.68616,24098.25893,24357.35096,23709.92024,24396.01781,5
Adverse,NZT,InstalledCapacity2050_MW,22575,22375,22675,22735,22375,22775,5
