Case,Year,Demand_GWh,DomesticGen_GWh,Imports_GWh,ENS_GWh,Curtailment_GWh,CO2_kt,RenShare,ReserveAvg_MW,ReservePeak_MW,OperatingCapacity_MW,NewCapacity_MW,GenericNewCapacity_MW,HydroAF
BAU_Normal,2025,42315.65928,40078.30276,2237.356518,0,0,3644.497289,0.8670414963,244.8822875,255.504,8510.05,310,0,0.7540273554
BAU_Normal,2026,43978.79934,41713.45855,2265.34079,0,0,3904.505356,0.8629729753,254.5069406,265.5461203,8942.46,432.41,0,0.7553016361
BAU_Normal,2027,46628.19576,44360.42124,2267.774525,0,0,4460.776626,0.843002418,269.8390959,281.5433042,9180.86,438.4,0,0.7530397441
BAU_Normal,2028,48673.85912,46794.10656,1879.752557,0,0,4122.266304,0.8320489175,281.6774255,293.8951186,10316.86,1160,0,0.7558632078
BAU_Normal,2029,51918.02421,49795.62615,2122.398052,0,0,5696.350086,0.7919103028,300.451529,313.4835445,10466.36,249.5,0,0.7526146817
BAU_Normal,2030,54108.85451,52025.60778,2008.734168,74.51256492,0,6900.367542,0.7641693936,313.1299451,326.711884,10618.02,519.32,0,0.7517989781
BAU_Normal,2031,56178.19143,54403.27664,1774.914788,0,0,3176.927808,0.8902967359,325.1052745,339.2066405,11818.02,1200,0,0.7514153704
BAU_Normal,2032,58406.27812,56460.63756,1945.640563,0,0,4146.709074,0.8631884679,337.9992947,352.6599358,11811.82,0,0,0.754732142
BAU_Normal,2033,61161.90812,59265.19737,1896.710754,0,0,3511.274942,0.8897996663,353.9462276,369.2985632,12989.32,1177.5,900,0.7585290154
BAU_Normal,2034,63447.06789,61571.62766,1875.440237,0,0,3384.989765,0.896791295,367.1705318,383.0964686,13685.12,701,300,0.755120099
BAU_Normal,2035,65882.66348,63820.07089,2062.592586,0,0,3572.849216,0.8948689982,381.2654136,397.8027127,14189.26,510,0,0.75308647
BAU_Normal,2036,68248.52347,66336.31298,1912.210486,0,0,3874.721943,0.8938322474,394.956733,412.0878899,14613.86,424.6,0,0.7502100874
BAU_Normal,2037,70654.3691,68754.43485,1899.934248,0,0,3960.35796,0.8947874034,408.8794508,426.6145023,14972.04,814.3,0,0.751727039
BAU_Normal,2038,73013.39919,71172.02821,1841.370978,0,0,3816.279979,0.9037055054,422.5312453,440.8584402,15623.38,661,0,0.7531010464
BAU_Normal,2039,75416.08565,73474.77599,1941.309655,0,0,4329.476916,0.8953318121,436.4356808,455.3659774,15941.08,317.7,0,0.7498358805
BAU_Normal,2040,77862.57558,76049.35115,1813.22443,0,0,3082.44135,0.9265607174,450.5936087,470.1380021,17098.58,1172,0,0.7489563871
BAU_Normal,2041,80262.67633,78403.38652,1859.289812,0,0,3333.642022,0.9233691958,464.4830806,484.6299267,17104.58,6,0,0.7572896537
BAU_Normal,2042,82648.26494,80727.45981,1920.805125,0,0,3595.810076,0.9219554084,478.2885702,499.0342262,17572.14,598.16,0,0.7506347255
BAU_Normal,2043,85037.61631,83169.14288,1868.473425,0,0,2839.16003,0.9380902731,492.1158351,513.4612455,18274.34,702.2,0,0.7565531547
BAU_Normal,2044,87436.65378,85501.12277,1935.531013,0,0,3503.894061,0.9277208442,505.9991538,527.94675,18538.37,264.03,0,0.7543729474
BAU_Normal,2045,89850.84437,87936.11443,1914.729945,0,0,3322.639178,0.9332498027,519.9701642,542.5237497,19093.07,554.7,0,0.7506930941
BAU_Normal,2046,92249.6578,90368.25833,1881.399472,0,0,2948.201152,0.9411566305,533.8521863,557.0079013,19812.57,753.9,0,0.7514745622
BAU_Normal,2047,94651.46047,92827.22133,1824.239145,0,0,3614.462101,0.9321588125,547.7515074,571.5101022,20075.82,266.2,0,0.7548610468
BAU_Normal,2048,97054.19303,95145.26964,1908.923399,0,0,4798.877465,0.9145049403,561.6562097,586.0179177,20655.42,631.6,0,0.7496138306
BAU_Normal,2049,99455.32689,97574.77546,1880.551429,0,0,5271.185549,0.9080315842,575.5516602,600.5160802,20998.42,760,0,0.7526773461
BAU_Normal,2050,101854.7862,99858.50004,1905.862714,90.42345491,0,6371.003469,0.8928515755,589.4374202,615.0041318,20864.82,0,0,0.7554698456
BAU_Extreme,2025,42315.65928,40307.64442,2008.01486,0,0,5184.644343,0.8095010322,244.8822875,255.504,8702.37,502.32,0,0.7004158471
BAU_Extreme,2026,43978.79934,42048.02301,1930.776328,0,0,5632.001929,0.8011177727,254.5069406,265.5461203,9171.97,469.6,0,0.7020389485
BAU_Extreme,2027,46628.19576,44638.97017,1974.967013,14.25857795,0,6171.004586,0.786903672,269.8390959,281.5433042,9499.68,527.71,0,0.6997946701
BAU_Extreme,2028,48673.85912,46867.0827,1806.776414,0,0,5047.136879,0.8016129105,281.6774255,293.8951186,10635.68,1160,0,0.7027255944
BAU_Extreme,2029,51918.02421,49962.69369,1955.330515,0,0,6493.521543,0.7699668819,300.451529,313.4835445,11085.68,550,0,0.698080576
BAU_Extreme,2030,54108.85451,52134.60865,1969.413393,4.832468185,0,7650.08906,0.7422546762,313.1299451,326.711884,11568.02,850,0,0.6969427723
BAU_Extreme,2031,56178.19143,54016.09387,2162.097554,0,0,8717.423846,0.7226049985,325.1052745,339.2066405,11568.02,0,0,0.6976242891
BAU_Extreme,2032,58406.27812,56379.04422,2027.233898,0,0,6244.532606,0.8049089697,337.9992947,352.6599358,12761.82,1200,0,0.7014948465
BAU_Extreme,2033,61161.90812,59265.19737,1896.710754,0,0,5181.581585,0.8467731211,353.9462276,369.2985632,14462.52,1700.7,900,0.7046973746
BAU_Extreme,2034,63447.06789,61498.57853,1948.489366,0,0,5644.485478,0.8379407392,367.1705318,383.0964686,14969.32,512,300,0.7020097825
BAU_Extreme,2035,65882.66348,63741.9559,2140.707573,0,0,6348.163329,0.8253563821,381.2654136,397.8027127,15225.46,262,0,0.6993161093
BAU_Extreme,2036,68248.52347,66289.80387,1958.71959,0,0,6440.720728,0.8309653117,394.956733,412.0878899,15937.16,711.7,0,0.6958326955
BAU_Extreme,2037,70654.3691,68681.40356,1972.965547,0,0,6138.184379,0.843412336,408.8794508,426.6145023,16208.04,727,0,0.6980581795
