Case,Year,Hydro,SolarPV,Wind,Geothermal,Biomass,FossilThermal,Imports,Other
BAU_Normal,2025,5359.55,223.6,176.48,0,143.6,2096.82,510,0
BAU_Normal,2026,5429.36,541.2,221.48,0,143.6,2096.82,510,0
BAU_Normal,2027,5587.76,711.2,221.48,0,143.6,2006.82,510,0
BAU_Normal,2028,5613.76,1041.2,601.48,0,143.6,2406.82,510,0
BAU_Normal,2029,5863.26,1041.2,601.48,0,143.6,2306.82,510,0
BAU_Normal,2030,6008,1041.2,601.48,0,7.2,2450.14,510,0
BAU_Normal,2031,7208,1041.2,601.48,0,7.2,2450.14,510,0
BAU_Normal,2032,7201.8,1041.2,601.48,0,7.2,2450.14,510,0
BAU_Normal,2033,7201.8,1318.7,1501.48,0,7.2,2450.14,510,0
BAU_Normal,2034,7397.6,1518.7,1801.48,0,7.2,2450.14,510,0
BAU_Normal,2035,7651.74,1618.7,1951.48,0,7.2,2450.14,510,0
BAU_Normal,2036,8003.14,1691.9,1951.48,0,7.2,2450.14,510,0
BAU_Normal,2037,8137.02,2145.2,1951.48,0,7.2,2221.14,510,0
BAU_Normal,2038,8595.56,2345.2,1951.48,0,7.2,2213.94,510,0
BAU_Normal,2039,8913.26,2345.2,1951.48,0,7.2,2213.94,510,0
BAU_Normal,2040,10070.76,2345.2,1951.48,0,7.2,2213.94,510,0
BAU_Normal,2041,10076.76,2345.2,1951.48,0,7.2,2213.94,510,0
BAU_Normal,2042,10674.92,2345.2,1951.48,0,7.2,2083.34,510,0
BAU_Normal,2043,11377.12,2345.2,1951.48,0,7.2,2083.34,510,0
BAU_Normal,2044,11641.15,2345.2,1951.48,0,7.2,2083.34,510,0
BAU_Normal,2045,12195.85,2345.2,1951.48,0,7.2,2083.34,510,0
BAU_Normal,2046,12949.75,2345.2,1951.48,0,7.2,2048.94,510,0
BAU_Normal,2047,13013,2345.2,1951.48,0,7.2,2248.94,510,0
BAU_Normal,2048,13044.6,2345.2,1951.48,0,7.2,2796.94,510,0
BAU_Normal,2049,13087.6,2345.2,1951.48,0,7.2,3096.94,510,0
BAU_Normal,2050,13014.77,2321.6,1934.98,0,5.5,3077.97,510,0
BAU_Extreme,2025,5359.55,223.6,176.48,0,143.6,2289.14,510,0
BAU_Extreme,2026,5389.55,541.2,221.48,0,143.6,2366.14,510,0
BAU_Extreme,2027,5637.26,711.2,221.48,0,143.6,2276.14,510,0
BAU_Extreme,2028,5663.26,1041.2,601.48,0,143.6,2676.14,510,0
BAU_Extreme,2029,5863.26,1041.2,601.48,50,143.6,2876.14,510,0
BAU_Extreme,2030,6008,1041.2,601.48,50,7.2,3350.14,510,0
BAU_Extreme,2031,6008,1041.2,601.48,50,7.2,3350.14,510,0
BAU_Extreme,2032,7201.8,1041.2,601.48,50,7.2,3350.14,510,0
BAU_Extreme,2033,7201.8,1691.9,1651.48,50,7.2,3350.14,510,0
BAU_Extreme,2034,7208.6,1891.9,1951.48,50,7.2,3350.14,510,0
BAU_Extreme,2035,7464.74,1891.9,1951.48,50,7.2,3350.14,510,0
BAU_Extreme,2036,7823.14,2245.2,1951.48,50,7.2,3350.14,510,0
BAU_Extreme,2037,8223.02,2345.2,1951.48,50,7.2,3121.14,510,0
BAU_Extreme,2038,8835.06,2345.2,1951.48,50,7.2,3113.94,510,0
BAU_Extreme,2039,9576.86,2345.2,1951.48,50,7.2,3113.94,510,0
BAU_Extreme,2040,10101.81,2345.2,1951.48,50,7.2,3113.94,510,0
BAU_Extreme,2041,10508.07,2345.2,1951.48,50,7.2,3313.94,510,0
BAU_Extreme,2042,11037.17,2345.2,1951.48,50,7.2,3183.34,510,0
BAU_Extreme,2043,11555.27,2345.2,1951.48,50,7.2,3183.34,510,0
BAU_Extreme,2044,12727.27,2345.2,1951.48,50,7.2,3183.34,510,0
BAU_Extreme,2045,12853.27,2345.2,1951.48,50,7.2,3183.34,510,0
BAU_Extreme,2046,13695.17,2345.2,1951.48,50,7.2,3148.94,510,0
BAU_Extreme,2047,14038.5,2345.2,1951.48,133,7.2,3148.94,510,0
