Case,Year,FuelCategory,Capacity_MW,Unit
BAU_Normal,2025,HYDRO,5359.550000000,MW
BAU_Normal,2025,PV,223.600000000,MW
BAU_Normal,2025,WIND,176.480000000,MW
BAU_Normal,2025,GEOTHERMAL,0.000000000,MW
BAU_Normal,2025,BIOENERGY,143.600000000,MW
BAU_Normal,2025,DIESEL,516.070000000,MW
BAU_Normal,2025,FUEL OIL,1331.150000000,MW
BAU_Normal,2025,GAS,249.600000000,MW
BAU_Normal,2025,IMPORTS,510.000000000,MW
BAU_Normal,2025,OTHER,0.000000000,MW
BAU_Normal,2026,HYDRO,5429.360000000,MW
BAU_Normal,2026,PV,541.200000000,MW
BAU_Normal,2026,WIND,221.480000000,MW
BAU_Normal,2026,GEOTHERMAL,0.000000000,MW
BAU_Normal,2026,BIOENERGY,143.600000000,MW
BAU_Normal,2026,DIESEL,516.070000000,MW
BAU_Normal,2026,FUEL OIL,1331.150000000,MW
BAU_Normal,2026,GAS,249.600000000,MW
BAU_Normal,2026,IMPORTS,510.000000000,MW
BAU_Normal,2026,OTHER,0.000000000,MW
BAU_Normal,2027,HYDRO,5587.760000000,MW
BAU_Normal,2027,PV,711.200000000,MW
BAU_Normal,2027,WIND,221.480000000,MW
BAU_Normal,2027,GEOTHERMAL,0.000000000,MW
BAU_Normal,2027,BIOENERGY,143.600000000,MW
BAU_Normal,2027,DIESEL,516.070000000,MW
BAU_Normal,2027,FUEL OIL,1131.150000000,MW
BAU_Normal,2027,GAS,359.600000000,MW
BAU_Normal,2027,IMPORTS,510.000000000,MW
BAU_Normal,2027,OTHER,0.000000000,MW
BAU_Normal,2028,HYDRO,5613.760000000,MW
BAU_Normal,2028,PV,1041.200000000,MW
BAU_Normal,2028,WIND,601.480000000,MW
BAU_Normal,2028,GEOTHERMAL,0.000000000,MW
BAU_Normal,2028,BIOENERGY,143.600000000,MW
BAU_Normal,2028,DIESEL,516.070000000,MW
BAU_Normal,2028,FUEL OIL,1131.150000000,MW
BAU_Normal,2028,GAS,759.600000000,MW
BAU_Normal,2028,IMPORTS,510.000000000,MW
BAU_Normal,2028,OTHER,0.000000000,MW
BAU_Normal,2029,HYDRO,5863.260000000,MW
BAU_Normal,2029,PV,1041.200000000,MW
BAU_Normal,2029,WIND,601.480000000,MW
BAU_Normal,2029,GEOTHERMAL,0.000000000,MW
BAU_Normal,2029,BIOENERGY,143.600000000,MW
BAU_Normal,2029,DIESEL,516.070000000,MW
BAU_Normal,2029,FUEL OIL,1031.150000000,MW
BAU_Normal,2029,GAS,759.600000000,MW
BAU_Normal,2029,IMPORTS,510.000000000,MW
BAU_Normal,2029,OTHER,0.000000000,MW
BAU_Normal,2030,HYDRO,6008.000000000,MW
BAU_Normal,2030,PV,1041.200000000,MW
BAU_Normal,2030,WIND,601.480000000,MW
BAU_Normal,2030,GEOTHERMAL,0.000000000,MW
BAU_Normal,2030,BIOENERGY,7.200000000,MW
BAU_Normal,2030,DIESEL,410.070000000,MW
BAU_Normal,2030,FUEL OIL,1011.150000000,MW
BAU_Normal,2030,GAS,1028.920000000,MW
BAU_Normal,2030,IMPORTS,510.000000000,MW
BAU_Normal,2030,OTHER,0.000000000,MW
BAU_Normal,2031,HYDRO,7208.000000000,MW
BAU_Normal,2031,PV,1041.200000000,MW
BAU_Normal,2031,WIND,601.480000000,MW
BAU_Normal,2031,GEOTHERMAL,0.000000000,MW
BAU_Normal,2031,BIOENERGY,7.200000000,MW
BAU_Normal,2031,DIESEL,410.070000000,MW
BAU_Normal,2031,FUEL OIL,1011.150000000,MW
BAU_Normal,2031,GAS,1028.920000000,MW
BAU_Normal,2031,IMPORTS,510.000000000,MW
BAU_Normal,2031,OTHER,0.000000000,MW
BAU_Normal,2032,HYDRO,7201.800000000,MW
BAU_Normal,2032,PV,1041.200000000,MW
BAU_Normal,2032,WIND,601.480000000,MW
BAU_Normal,2032,GEOTHERMAL,0.000000000,MW
BAU_Normal,2032,BIOENERGY,7.200000000,MW
BAU_Normal,2032,DIESEL,410.070000000,MW
BAU_Normal,2032,FUEL OIL,1011.150000000,MW
BAU_Normal,2032,GAS,1028.920000000,MW
BAU_Normal,2032,IMPORTS,510.000000000,MW
BAU_Normal,2032,OTHER,0.000000000,MW
BAU_Normal,2033,HYDRO,7201.800000000,MW
BAU_Normal,2033,PV,1318.700000000,MW
BAU_Normal,2033,WIND,1501.480000000,MW
BAU_Normal,2033,GEOTHERMAL,0.000000000,MW
BAU_Normal,2033,BIOENERGY,7.200000000,MW
BAU_Normal,2033,DIESEL,410.070000000,MW
BAU_Normal,2033,FUEL OIL,1011.150000000,MW
BAU_Normal,2033,GAS,1028.920000000,MW
BAU_Normal,2033,IMPORTS,510.000000000,MW
BAU_Normal,2033,OTHER,0.000000000,MW
BAU_Normal,2034,HYDRO,7397.600000000,MW
BAU_Normal,2034,PV,1518.700000000,MW
BAU_Normal,2034,WIND,1801.480000000,MW
BAU_Normal,2034,GEOTHERMAL,0.000000000,MW
BAU_Normal,2034,BIOENERGY,7.200000000,MW
BAU_Normal,2034,DIESEL,410.070000000,MW
BAU_Normal,2034,FUEL OIL,1011.150000000,MW
BAU_Normal,2034,GAS,1028.920000000,MW
BAU_Normal,2034,IMPORTS,510.000000000,MW
BAU_Normal,2034,OTHER,0.000000000,MW
BAU_Normal,2035,HYDRO,7651.740000000,MW
BAU_Normal,2035,PV,1618.700000000,MW
BAU_Normal,2035,WIND,1951.480000000,MW
BAU_Normal,2035,GEOTHERMAL,0.000000000,MW
BAU_Normal,2035,BIOENERGY,7.200000000,MW
BAU_Normal,2035,DIESEL,410.070000000,MW
BAU_Normal,2035,FUEL OIL,1011.150000000,MW
BAU_Normal,2035,GAS,1028.920000000,MW
BAU_Normal,2035,IMPORTS,510.000000000,MW
BAU_Normal,2035,OTHER,0.000000000,MW
BAU_Normal,2036,HYDRO,8003.140000000,MW
BAU_Normal,2036,PV,1691.900000000,MW
BAU_Normal,2036,WIND,1951.480000000,MW
BAU_Normal,2036,GEOTHERMAL,0.000000000,MW
