Case,Year,FuelCategory,Generation_GWh,Unit
BAU_Normal,2025,HYDRO,32585.508000000,GWh
BAU_Normal,2025,PV,521.539200000,GWh
BAU_Normal,2025,WIND,620.056800000,GWh
BAU_Normal,2025,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2025,BIOENERGY,1022.464800000,GWh
BAU_Normal,2025,DIESEL,0.000000000,GWh
BAU_Normal,2025,FUEL OIL,4796.877600000,GWh
BAU_Normal,2025,GAS,531.928800000,GWh
BAU_Normal,2025,IMPORTS,2237.349600000,GWh
BAU_Normal,2025,OTHER,0.000000000,GWh
BAU_Normal,2026,HYDRO,33013.886400000,GWh
BAU_Normal,2026,PV,1230.775200000,GWh
BAU_Normal,2026,WIND,771.206400000,GWh
BAU_Normal,2026,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2026,BIOENERGY,981.763200000,GWh
BAU_Normal,2026,DIESEL,0.000000000,GWh
BAU_Normal,2026,FUEL OIL,5125.312800000,GWh
BAU_Normal,2026,GAS,590.536800000,GWh
BAU_Normal,2026,IMPORTS,2265.343200000,GWh
BAU_Normal,2026,OTHER,0.000000000,GWh
BAU_Normal,2027,HYDRO,34019.848800000,GWh
BAU_Normal,2027,PV,1618.084800000,GWh
BAU_Normal,2027,WIND,780.012000000,GWh
BAU_Normal,2027,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2027,BIOENERGY,978.019200000,GWh
BAU_Normal,2027,DIESEL,310.939200000,GWh
BAU_Normal,2027,FUEL OIL,4964.947200000,GWh
BAU_Normal,2027,GAS,1688.594400000,GWh
BAU_Normal,2027,IMPORTS,2267.776800000,GWh
BAU_Normal,2027,OTHER,0.000000000,GWh
BAU_Normal,2028,HYDRO,33487.531200000,GWh
BAU_Normal,2028,PV,2378.455200000,GWh
BAU_Normal,2028,WIND,2091.628800000,GWh
BAU_Normal,2028,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2028,BIOENERGY,977.450400000,GWh
BAU_Normal,2028,DIESEL,0.000000000,GWh
BAU_Normal,2028,FUEL OIL,3902.875200000,GWh
BAU_Normal,2028,GAS,3956.270400000,GWh
BAU_Normal,2028,IMPORTS,1879.761600000,GWh
BAU_Normal,2028,OTHER,0.000000000,GWh
BAU_Normal,2029,HYDRO,34074.345600000,GWh
BAU_Normal,2029,PV,2329.142400000,GWh
BAU_Normal,2029,WIND,2047.766400000,GWh
BAU_Normal,2029,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2029,BIOENERGY,982.432800000,GWh
BAU_Normal,2029,DIESEL,520.927200000,GWh
BAU_Normal,2029,FUEL OIL,4932.957600000,GWh
BAU_Normal,2029,GAS,4908.052800000,GWh
BAU_Normal,2029,IMPORTS,2122.416000000,GWh
BAU_Normal,2029,OTHER,0.000000000,GWh
BAU_Normal,2030,HYDRO,35285.644800000,GWh
BAU_Normal,2030,PV,2380.780800000,GWh
BAU_Normal,2030,WIND,2042.503200000,GWh
BAU_Normal,2030,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2030,BIOENERGY,47.412000000,GWh
BAU_Normal,2030,DIESEL,649.944000000,GWh
BAU_Normal,2030,FUEL OIL,5396.745600000,GWh
BAU_Normal,2030,GAS,6222.506400000,GWh
BAU_Normal,2030,IMPORTS,2008.720800000,GWh
BAU_Normal,2030,OTHER,0.000000000,GWh
BAU_Normal,2031,HYDRO,43981.084800000,GWh
BAU_Normal,2031,PV,2372.853600000,GWh
BAU_Normal,2031,WIND,2040.955200000,GWh
BAU_Normal,2031,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2031,BIOENERGY,40.168800000,GWh
BAU_Normal,2031,DIESEL,0.000000000,GWh
BAU_Normal,2031,FUEL OIL,2471.515200000,GWh
BAU_Normal,2031,GAS,3496.658400000,GWh
BAU_Normal,2031,IMPORTS,1774.900800000,GWh
BAU_Normal,2031,OTHER,0.000000000,GWh
BAU_Normal,2032,HYDRO,44291.023200000,GWh
BAU_Normal,2032,PV,2344.262400000,GWh
BAU_Normal,2032,WIND,2056.039200000,GWh
BAU_Normal,2032,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2032,BIOENERGY,44.812800000,GWh
BAU_Normal,2032,DIESEL,49.867200000,GWh
BAU_Normal,2032,FUEL OIL,3157.596000000,GWh
BAU_Normal,2032,GAS,4517.013600000,GWh
BAU_Normal,2032,IMPORTS,1945.634400000,GWh
BAU_Normal,2032,OTHER,0.000000000,GWh
BAU_Normal,2033,HYDRO,44446.392000000,GWh
BAU_Normal,2033,PV,2960.704800000,GWh
BAU_Normal,2033,WIND,5287.017600000,GWh
BAU_Normal,2033,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2033,BIOENERGY,40.032000000,GWh
BAU_Normal,2033,DIESEL,0.000000000,GWh
BAU_Normal,2033,FUEL OIL,2704.291200000,GWh
BAU_Normal,2033,GAS,3826.778400000,GWh
BAU_Normal,2033,IMPORTS,1896.703200000,GWh
BAU_Normal,2033,OTHER,0.000000000,GWh
BAU_Normal,2034,HYDRO,45474.552000000,GWh
BAU_Normal,2034,PV,3430.497600000,GWh
BAU_Normal,2034,WIND,6274.555200000,GWh
BAU_Normal,2034,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2034,BIOENERGY,37.072800000,GWh
BAU_Normal,2034,DIESEL,0.000000000,GWh
BAU_Normal,2034,FUEL OIL,2693.858400000,GWh
BAU_Normal,2034,GAS,3660.904800000,GWh
BAU_Normal,2034,IMPORTS,1875.441600000,GWh
BAU_Normal,2034,OTHER,0.000000000,GWh
BAU_Normal,2035,HYDRO,46703.786400000,GWh
BAU_Normal,2035,PV,3667.226400000,GWh
BAU_Normal,2035,WIND,6702.573600000,GWh
BAU_Normal,2035,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2035,BIOENERGY,36.943200000,GWh
BAU_Normal,2035,DIESEL,0.000000000,GWh
BAU_Normal,2035,FUEL OIL,2730.103200000,GWh
BAU_Normal,2035,GAS,3979.382400000,GWh
BAU_Normal,2035,IMPORTS,2062.591200000,GWh
BAU_Normal,2035,OTHER,0.000000000,GWh
BAU_Normal,2036,HYDRO,48725.424000000,GWh
BAU_Normal,2036,PV,3796.084800000,GWh
BAU_Normal,2036,WIND,6734.635200000,GWh
BAU_Normal,2036,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2036,BIOENERGY,37.238400000,GWh
BAU_Normal,2036,DIESEL,83.808000000,GWh
BAU_Normal,2036,FUEL OIL,2992.600800000,GWh
BAU_Normal,2036,GAS,3966.350400000,GWh
BAU_Normal,2036,IMPORTS,1912.204800000,GWh
BAU_Normal,2036,OTHER,0.000000000,GWh
BAU_Normal,2037,HYDRO,49750.135200000,GWh
BAU_Normal,2037,PV,4887.316800000,GWh
BAU_Normal,2037,WIND,6844.046400000,GWh
BAU_Normal,2037,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2037,BIOENERGY,39.074400000,GWh
BAU_Normal,2037,DIESEL,149.342400000,GWh
BAU_Normal,2037,FUEL OIL,2917.821600000,GWh
BAU_Normal,2037,GAS,4166.654400000,GWh
BAU_Normal,2037,IMPORTS,1899.943200000,GWh
BAU_Normal,2037,OTHER,0.000000000,GWh
BAU_Normal,2038,HYDRO,52179.732000000,GWh
BAU_Normal,2038,PV,5337.640800000,GWh
BAU_Normal,2038,WIND,6765.703200000,GWh
BAU_Normal,2038,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2038,BIOENERGY,35.539200000,GWh
BAU_Normal,2038,DIESEL,47.894400000,GWh
BAU_Normal,2038,FUEL OIL,2944.425600000,GWh
BAU_Normal,2038,GAS,3861.180000000,GWh
BAU_Normal,2038,IMPORTS,1841.371200000,GWh
BAU_Normal,2038,OTHER,0.000000000,GWh
BAU_Normal,2039,HYDRO,53507.131200000,GWh
BAU_Normal,2039,PV,5360.421600000,GWh
BAU_Normal,2039,WIND,6881.385600000,GWh
BAU_Normal,2039,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2039,BIOENERGY,35.402400000,GWh
BAU_Normal,2039,DIESEL,493.056000000,GWh
BAU_Normal,2039,FUEL OIL,3059.971200000,GWh
BAU_Normal,2039,GAS,4137.415200000,GWh
BAU_Normal,2039,IMPORTS,1941.307200000,GWh
BAU_Normal,2039,OTHER,0.000000000,GWh
BAU_Normal,2040,HYDRO,58361.976000000,GWh
BAU_Normal,2040,PV,5299.696800000,GWh
BAU_Normal,2040,WIND,6777.936000000,GWh
BAU_Normal,2040,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2040,BIOENERGY,24.768000000,GWh
BAU_Normal,2040,DIESEL,3.895200000,GWh
BAU_Normal,2040,FUEL OIL,2332.684800000,GWh
BAU_Normal,2040,GAS,3248.409600000,GWh
BAU_Normal,2040,IMPORTS,1813.219200000,GWh
BAU_Normal,2040,OTHER,0.000000000,GWh
BAU_Normal,2041,HYDRO,60165.403200000,GWh
BAU_Normal,2041,PV,5321.066400000,GWh
BAU_Normal,2041,WIND,6880.694400000,GWh
BAU_Normal,2041,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2041,BIOENERGY,28.029600000,GWh
BAU_Normal,2041,DIESEL,82.274400000,GWh
BAU_Normal,2041,FUEL OIL,2469.096000000,GWh
BAU_Normal,2041,GAS,3456.748800000,GWh
BAU_Normal,2041,IMPORTS,1859.299200000,GWh
BAU_Normal,2041,OTHER,0.000000000,GWh
BAU_Normal,2042,HYDRO,62271.921600000,GWh
BAU_Normal,2042,PV,5335.056000000,GWh
BAU_Normal,2042,WIND,6795.525600000,GWh
BAU_Normal,2042,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2042,BIOENERGY,24.688800000,GWh
BAU_Normal,2042,DIESEL,298.677600000,GWh
BAU_Normal,2042,FUEL OIL,2860.387200000,GWh
BAU_Normal,2042,GAS,3141.288000000,GWh
BAU_Normal,2042,IMPORTS,1920.816000000,GWh
BAU_Normal,2042,OTHER,0.000000000,GWh
BAU_Normal,2043,HYDRO,65823.285600000,GWh
