Case,Year,Hydro,SolarPV,Wind,Geothermal,Biomass,FossilThermal,Imports,Other
BAU_Normal,2025,32585.53739,521.4932746,620.0584526,0,1022.46248,5328.751166,2237.356518,0
BAU_Normal,2026,33013.82776,1230.766781,771.2144048,0,981.7784892,5715.871116,2265.34079,0
BAU_Normal,2027,34019.86119,1618.080137,779.9952277,0,978.0058156,6964.478872,2267.774525,0
BAU_Normal,2028,33487.41876,2378.502562,2091.623446,0,977.4409427,7859.12085,1879.752557,0
BAU_Normal,2029,34074.27446,2329.175342,2047.789728,0,982.4298624,10361.95677,2122.398052,0
BAU_Normal,2030,35285.68487,2380.769028,2042.518551,0,47.40470227,12269.23063,2008.734168,0
BAU_Normal,2031,43981.03539,2372.87966,2040.969484,0,40.1750739,5968.217027,1774.914788,0
BAU_Normal,2032,44291.00116,2344.300953,2056.051779,0,44.8173385,7724.466329,1945.640563,0
BAU_Normal,2033,44446.397,2960.718353,5286.984841,0,40.05264751,6531.044528,1896.710754,0
BAU_Normal,2034,45474.68566,3430.546673,6274.596009,0,37.07136005,6354.727958,1875.440237,0
BAU_Normal,2035,46703.86715,3667.228602,6702.562509,0,36.94464154,6709.467988,2062.592586,0
BAU_Normal,2036,48725.4557,3796.165997,6734.678504,0,37.23551351,7042.777266,1912.210486,0
BAU_Normal,2037,49750.1945,4887.290649,6844.041113,0,39.07597875,7233.832618,1899.934248,0
BAU_Normal,2038,52179.73081,5337.572049,6765.711877,0,35.53899218,6853.474489,1841.370978,0
BAU_Normal,2039,53507.11362,5360.407041,6881.376352,0,35.40732597,7690.471658,1941.309655,0
BAU_Normal,2040,58361.9508,5299.632545,6777.9742,0,24.78381614,5585.009788,1813.22443,0
BAU_Normal,2041,60165.46206,5321.079176,6880.702207,0,28.02851353,6008.114557,1859.289812,0
BAU_Normal,2042,62271.85936,5335.082637,6795.492559,0,24.68362753,6300.341632,1920.805125,0
BAU_Normal,2043,65823.15841,5360.850712,6807.572652,0,28.58218701,5148.978919,1868.473425,0
BAU_Normal,2044,67113.16643,5355.421409,6819.997452,0,32.58850319,6179.948977,1935.531013,0
BAU_Normal,2045,69900.26988,5252.300506,6889.121197,0,24.66985552,5869.752987,1914.729945,0
BAU_Normal,2046,72782.09632,5414.754651,6829.050444,0,24.78408896,5317.572819,1881.399472,0
BAU_Normal,2047,74323.27861,5382.312447,6799.249096,0,24.87224841,6297.508928,1824.239145,0
BAU_Normal,2048,74968.60798,5351.554178,6665.318243,0,25.33872468,8134.450506,1908.923399,0
BAU_Normal,2049,76356.63278,5377.331055,6831.850802,0,35.16330003,8973.797517,1880.551429,0
BAU_Normal,2050,77184.42376,5276.092318,6671.946013,0,26.3569957,10699.68095,1905.862714,0
BAU_Extreme,2025,30521.50279,521.4932746,620.0584526,0,966.0252402,7678.564656,2008.01486,0
BAU_Extreme,2026,30713.31271,1230.766781,771.2144048,0,970.124651,8362.604469,1930.776328,0
BAU_Extreme,2027,31761.70184,1618.080137,779.9952277,0,966.7923391,9512.40063,1974.967013,0
BAU_Extreme,2028,32303.47456,2378.502562,2091.623446,0,795.658006,9297.82413,1806.776414,0
BAU_Extreme,2029,32743.61383,2329.175342,2047.789728,365.210028,983.8305454,11493.07422,1955.330515,0
BAU_Extreme,2030,33855.04246,2380.769028,2042.518551,369.348727,49.47830227,13437.45159,1969.413393,0
BAU_Extreme,2031,34201.80103,2372.87966,2040.969484,367.56615,49.08311182,14983.79444,2162.097554,0
BAU_Extreme,2032,40563.45902,2344.300953,2056.051779,368.6736069,47.51304132,10999.04582,2027.233898,0
BAU_Extreme,2033,40180.3875,3803.942263,5791.636758,368.6543449,39.55528212,9081.021221,1896.710754,0
BAU_Extreme,2034,40050.10512,4275.117248,6792.547998,368.3690538,46.0249303,9966.414174,1948.489366,0
BAU_Extreme,2035,41211.00408,4279.390124,6702.562509,370.2950889,46.57831502,11132.12579,2140.707573,0
BAU_Extreme,2036,42874.73189,5065.841642,6734.678504,366.5502198,42.72528044,11205.27634,1958.71959,0
BAU_Extreme,2037,45323.75032,5342.574328,6844.041113,370.3308877,46.04636189,10754.66054,1972.965547,0
BAU_Extreme,2038,48293.48274,5337.572049,6765.711877,366.4023613,36.05739218,10372.80179,1841.370978,0
BAU_Extreme,2039,51769.01807,5360.407041,6881.376352,364.2667836,31.84911683,9066.911498,1941.309655,0
BAU_Extreme,2040,54135.2613,5299.632545,6777.9742,364.7901413,28.23155568,9443.461406,1813.22443,0
BAU_Extreme,2041,56705.26259,5321.079176,6880.702207,372.1003184,31.59729166,9092.644931,1859.289812,0
BAU_Extreme,2042,58559.87767,5335.082637,6795.492559,366.3752796,24.68362753,9645.948039,1920.805125,0
BAU_Extreme,2043,60875.47322,5360.850712,6807.572652,365.1864994,35.54435349,9724.515447,1868.473425,0
BAU_Extreme,2044,64218.2843,5355.421409,6819.997452,366.9744658,25.49009337,8714.955053,1935.531013,0
