Generator,GeneratorName,Status,ModelZone,Technology,Subtype,SourceFuel,PublicFuelCategory,ModelClass,Pgmax_MW,EntryYear,RetirementYear
E001_Baba,Baba,EXISTING,ZNX,Hydro,Reservoir,Water,HYDRO,ROR,42,2025,2065
E002_Marcel_Laniado_de_Wind,Marcel Laniado de Wind,EXISTING,ZNX,Hydro,Reservoir,Water,HYDRO,ROR,213,2025,2049
E003_Mazar,Mazar,EXISTING,ZSO,Hydro,Reservoir,Water,HYDRO,Reservoir,170,2025,2060
E004_Paute_Molino,Paute Molino,EXISTING,ZSO,Hydro,Reservoir,Water,HYDRO,Reservoir,1100,2025,2051
E005_Pucara,Pucara,EXISTING,ZNO,Hydro,Reservoir,Water,HYDRO,Reservoir,70.6,2025,2037
E006_Huascachaca,Huascachaca,EXISTING,ZSO,Wind,Wind,Wind,WIND,VRE,49.98,2025,2051
E007_Villonaco,Villonaco,EXISTING,ZSO,Wind,Wind,Wind,WIND,VRE,16.5,2025,2050
E008_El_Inga,El Inga,EXISTING,ZNO,Biogas,Internal combustion engine,Biogas,BIOENERGY,Thermal,5.5,2025,2056
E009_Catamayo,Catamayo,EXISTING,ZSO,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,17.17,2025,2050
E010_Celso_Castellanos,Celso Castellanos,EXISTING,ZNO,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,7.2,2025,2038
E011_Central_Colombia,Central Colombia,EXISTING,COL,Thermal,Internal combustion engine,Diesel,IMPORTS,Import,460,2025,9999
E012_Central_Peru,Central Peru,EXISTING,PER,Thermal,Internal combustion engine,Diesel,IMPORTS,Import,50,2025,9999
E013_El_Descanso,El Descanso,EXISTING,ZSO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,17.2,2025,2051
E014_Esmeraldas_II,Esmeraldas II,EXISTING,ZNX,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,84,2025,2054
E015_Generoca,Generoca,EXISTING,ZSX,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,34.4,2025,2046
E016_Gualberto_Hernandez,Gualberto Hernandez,EXISTING,ZNO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,31.2,2025,2051
E017_Guangopolo,Guangopolo,EXISTING,ZNO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,21.8,2025,2051
E018_Guangopolo_2,Guangopolo 2,EXISTING,ZNO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,48,2025,2054
E019_Jaramijo,Jaramijo,EXISTING,ZNX,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,128.88,2025,2052
E020_Jivino_I,Jivino I,EXISTING,ZNO,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,5.4,2025,2030
E021_Jivino_II,Jivino II,EXISTING,ZNO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,10,2025,2048
E022_Jivino_III,Jivino III,EXISTING,ZNO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,42,2025,2048
E023_La_Propicia,La Propicia,EXISTING,ZNX,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,8.5,2025,2051
E024_Lligua,Lligua,EXISTING,ZNO,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,3.6,2025,2030
E025_Macas,Macas,EXISTING,ZSO,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,4,2025,2054
E026_Manta_II,Manta II,EXISTING,ZNX,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,17.34,2025,2051
E027_Miraflores,Miraflores,EXISTING,ZNX,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,39.4,2025,2051
E028_Pedernales,Pedernales,EXISTING,ZNX,Thermal,Internal combustion engine,Diesel,DIESEL,Thermal,3.9,2025,2051
E029_Quevedo_II,Quevedo II,EXISTING,ZNX,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,40.5,2025,2051
E030_Santa_Elena_II,Santa Elena II,EXISTING,ZSX,Thermal,Internal combustion engine,FuelOil,FUEL OIL,Thermal,65.03,2025,2051
E031_Santa_Elena_III,Santa Elena III,EXISTING,ZSX,Thermal,Internal combustion engine,FuelOil,FUEL OIL,Thermal,40,2025,2052
E032_Selva_Alegre,Selva Alegre,EXISTING,ZNO,Thermal,Internal combustion engine,Residual,FUEL OIL,Thermal,24.3,2025,2051
E033_Abanico,Abanico,EXISTING,ZSO,Hydro,Run-of-river,Water,HYDRO,ROR,37.99,2025,2055
E034_Agoyan,Agoyan,EXISTING,ZNO,Hydro,Run-of-river,Water,HYDRO,ROR,154,2025,2037
E035_Alao,Alao,EXISTING,ZSO,Hydro,Run-of-river,Water,HYDRO,ROR,10.44,2025,2051
