Case,Year,Month,Demand_GWh,DomesticGen_GWh,Imports_GWh,ENS_GWh,Curtailment_GWh,CO2_kt,RenShare,Reserve_MW
BAU_Normal,2025,m1,3484.663026,3133.636686,351.0263393,0,0,436.4980466,0.7951155007,241.9904879
BAU_Normal,2025,m2,3554.069242,3250.999097,303.0701447,0,0,567.6514631,0.7403095197,246.810364
BAU_Normal,2025,m3,3623.321244,3534.181514,89.13973001,0,0,149.2788981,0.9404017742,251.6195308
BAU_Normal,2025,m4,3679.2576,3527.220117,152.0374831,0,0,153.4972649,0.9385966819,255.504
BAU_Normal,2025,m5,3603.790536,3523.003424,80.78711258,0,0,150.1965914,0.9398451327,250.2632317
BAU_Normal,2025,m6,3445.520264,3417.935172,27.58509199,0,0,96.76498059,0.9600535533,239.2722406
BAU_Normal,2025,m7,3363.559175,3363.559175,0,0,0,52.32223839,0.9780511887,233.5804982
BAU_Normal,2025,m8,3366.902647,3366.902647,0,0,0,69.56432042,0.9708472352,233.8126838
BAU_Normal,2025,m9,3521.341238,3208.34299,312.9982478,0,0,496.3127105,0.7726451944,244.5375859
BAU_Normal,2025,m10,3486.604112,3164.873603,321.7305096,0,0,445.1878732,0.793269953,242.1252856
BAU_Normal,2025,m11,3548.20398,3247.132638,301.071342,0,0,506.7424244,0.7704892991,246.4030542
BAU_Normal,2025,m12,3638.426214,3340.515697,297.9105172,0,0,520.4804777,0.7707387123,252.6684871
BAU_Normal,2026,m1,3621.621371,3317.082392,304.5389789,0,0,496.0413823,0.7806355739,251.5014841
BAU_Normal,2026,m2,3693.755472,3410.555673,283.1997996,0,0,573.6308646,0.7498501057,256.5107967
BAU_Normal,2026,m3,3765.729299,3698.403199,67.32609976,0,0,220.4828213,0.9153748383,261.5089791
BAU_Normal,2026,m4,3823.864132,3590.142165,233.7219662,0,0,183.3150116,0.9274631833,265.5461203
BAU_Normal,2026,m5,3745.430972,3643.848636,101.5823364,0,0,181.5717364,0.929179498,260.0993731
BAU_Normal,2026,m6,3580.940175,3556.164735,24.77544021,0,0,129.4760391,0.9486274296,248.676401
BAU_Normal,2026,m7,3495.757754,3484.57417,11.18358406,0,0,51.19310473,0.979270658,242.7609551
BAU_Normal,2026,m8,3499.232635,3473.880341,25.35229344,0,0,111.6848795,0.9546368414,243.0022663
BAU_Normal,2026,m9,3659.741154,3368.178221,291.5629326,0,0,420.8413755,0.8161610691,254.1486912
BAU_Normal,2026,m10,3623.638749,3320.664387,302.9743614,0,0,488.0846665,0.7833962577,251.6415798
BAU_Normal,2026,m11,3687.659687,3355.014552,332.645135,0,0,516.9754353,0.7723711122,256.0874783
BAU_Normal,2026,m12,3781.427942,3494.95008,286.4778619,0,0,531.2080392,0.7742631071,262.5991626
BAU_Normal,2027,m1,3839.797193,3527.059879,312.7373139,0,0,564.9492558,0.7537468709,266.6525829
BAU_Normal,2027,m2,3916.276839,3608.446443,307.8303965,0,0,586.0539473,0.749875883,271.9636694
BAU_Normal,2027,m3,3992.586555,3868.059902,124.5266529,0,0,228.6287499,0.9061127856,277.2629552
BAU_Normal,2027,m4,4054.22358,3853.395742,200.8278374,0,0,198.9604601,0.9167638678,281.5433042
BAU_Normal,2027,m5,3971.065404,3926.352887,44.71251797,0,0,249.8102982,0.8999417025,275.7684309
BAU_Normal,2027,m6,3796.665257,3772.974682,23.69057497,0,0,181.0829143,0.9217971406,263.6573095
BAU_Normal,2027,m7,3706.351227,3687.253468,19.09775902,0,0,120.8369025,0.9434254267,257.3855018
BAU_Normal,2027,m8,3710.035443,3686.171294,23.86414938,0,0,108.8894219,0.9476913525,257.6413502
BAU_Normal,2027,m9,3880.21341,3608.136349,272.0770612,0,0,513.0800728,0.7792443638,269.4592646
BAU_Normal,2027,m10,3841.936103,3538.66306,303.2730425,0,0,541.3338094,0.763713968,266.8011183
BAU_Normal,2027,m11,3909.813828,3580.012181,329.8016476,0,0,594.0805151,0.7460373087,271.5148492
BAU_Normal,2027,m12,4009.230925,3703.895353,305.3355718,0,0,573.0702786,0.7628769136,278.4188142
BAU_Normal,2028,m1,4008.256047,3690.439823,317.816224,0,0,401.9687276,0.7981937323,278.3511144
BAU_Normal,2028,m2,4088.090993,3770.26548,317.825513,0,0,516.2261103,0.7550315716,283.8952079
BAU_Normal,2028,m3,4167.748554,4141.9683,25.78025458,0,0,290.1378188,0.8581400212,289.4269829
BAU_Normal,2028,m4,4232.089707,4208.263553,23.82615445,0,0,309.8211247,0.8534175352,293.8951186
BAU_Normal,2028,m5,4145.283232,4121.913499,23.36973322,0,0,287.1292463,0.8585936968,287.8668911
BAU_Normal,2028,m6,3963.231834,3963.231834,0,0,0,149.3729815,0.907068261,275.2244329
BAU_Normal,2028,m7,3868.955564,3868.955564,0,0,0,141.546009,0.9103327729,268.6774697
BAU_Normal,2028,m8,3872.801414,3872.801414,0,0,0,126.5537957,0.9218484456,268.9445426
BAU_Normal,2028,m9,4050.445396,3765.956629,284.4887671,0,0,444.2516086,0.7890165038,281.2809303
BAU_Normal,2028,m10,4010.488794,3694.300076,316.1887182,0,0,368.6233082,0.8162934815,278.5061663
BAU_Normal,2028,m11,4081.344438,3791.991277,289.3531612,0,0,542.6685968,0.7480459176,283.4266971
BAU_Normal,2028,m12,4185.123143,3904.019112,281.104031,0,0,543.9669762,0.7548818747,290.6335516
BAU_Normal,2029,m1,4275.410626,3957.781904,317.6287217,0,0,621.4529489,0.7279816675,296.9035157
BAU_Normal,2029,m2,4360.566657,4048.254396,312.3122613,0,0,547.2535267,0.754947086,302.817129
BAU_Normal,2029,m3,4445.53348,4423.025597,22.50788299,0,0,397.1088153,0.8282934874,308.7176028
BAU_Normal,2029,m4,4514.16304,4401.574325,112.5887154,0,0,409.4090935,0.8234832502,313.4835445
BAU_Normal,2029,m5,4421.57082,4380.945959,40.62486088,0,0,408.5498767,0.8222431081,307.0535292
BAU_Normal,2029,m6,4227.385501,4203.349211,24.03628984,0,0,309.5040776,0.8530279852,293.5684376
BAU_Normal,2029,m7,4126.825616,4103.945085,22.88053076,0,0,204.5610262,0.887570641,286.5851122
BAU_Normal,2029,m8,4130.927796,4104.771313,26.15648248,0,0,251.6433171,0.8707443553,286.8699858
BAU_Normal,2029,m9,4320.41194,4017.512872,302.8990682,0,0,699.8166924,0.7068339018,300.028607
BAU_Normal,2029,m10,4277.792188,3978.922661,298.8695276,0,0,515.8845383,0.7678619618,297.068902
BAU_Normal,2029,m11,4353.370437,4041.676118,311.6943197,0,0,655.0730363,0.7225398288,302.3173915
BAU_Normal,2029,m12,4464.066104,4133.866713,330.1993912,0,0,676.0931372,0.7228821484,310.0045905
BAU_Normal,2030,m1,4455.82387,4156.018303,299.8055674,0,0,714.8792055,0.7009290317,309.4322132
BAU_Normal,2030,m2,4544.573305,4252.142748,292.4305565,0,0,738.6982021,0.7016405965,315.5953684
BAU_Normal,2030,m3,4633.125548,4606.685274,26.44027352,0,0,454.4701785,0.8154363268,321.7448297
BAU_Normal,2030,m4,4704.651129,4642.002021,62.64910804,0,0,495.7487908,0.8025106836,326.711884
