Case,Year,Hydro,SolarPV,Wind,Geothermal,Biomass,FossilThermal,Imports,Other
BAU_Normal,2025,0,200,110,0,0,0,0,0
BAU_Normal,2026,69.81,317.6,45,0,0,0,0,0
BAU_Normal,2027,158.4,170,0,0,0,110,0,0
BAU_Normal,2028,50,330,380,0,0,400,0,0
BAU_Normal,2029,249.5,0,0,0,0,0,0,0
BAU_Normal,2030,250,0,0,0,0,269.32,0,0
BAU_Normal,2031,1200,0,0,0,0,0,0,0
BAU_Normal,2032,0,0,0,0,0,0,0,0
BAU_Normal,2033,0,277.5,900,0,0,0,0,0
BAU_Normal,2034,201,200,300,0,0,0,0,0
BAU_Normal,2035,260,100,150,0,0,0,0,0
BAU_Normal,2036,351.4,73.2,0,0,0,0,0,0
BAU_Normal,2037,361,453.3,0,0,0,0,0,0
BAU_Normal,2038,461,200,0,0,0,0,0,0
BAU_Normal,2039,317.7,0,0,0,0,0,0,0
BAU_Normal,2040,1172,0,0,0,0,0,0,0
BAU_Normal,2041,6,0,0,0,0,0,0,0
BAU_Normal,2042,598.16,0,0,0,0,0,0,0
BAU_Normal,2043,702.2,0,0,0,0,0,0,0
BAU_Normal,2044,264.03,0,0,0,0,0,0,0
BAU_Normal,2045,554.7,0,0,0,0,0,0,0
BAU_Normal,2046,753.9,0,0,0,0,0,0,0
BAU_Normal,2047,66.2,0,0,0,0,200,0,0
BAU_Normal,2048,31.6,0,0,0,0,600,0,0
BAU_Normal,2049,460,0,0,0,0,300,0,0
BAU_Normal,2050,0,0,0,0,0,0,0,0
BAU_Extreme,2025,0,200,110,0,0,192.32,0,0
BAU_Extreme,2026,30,317.6,45,0,0,77,0,0
BAU_Extreme,2027,247.71,170,0,0,0,110,0,0
BAU_Extreme,2028,50,330,380,0,0,400,0,0
BAU_Extreme,2029,200,0,0,50,0,300,0,0
BAU_Extreme,2030,250,0,0,0,0,600,0,0
BAU_Extreme,2031,0,0,0,0,0,0,0,0
BAU_Extreme,2032,1200,0,0,0,0,0,0,0
BAU_Extreme,2033,0,650.7,1050,0,0,0,0,0
BAU_Extreme,2034,12,200,300,0,0,0,0,0
BAU_Extreme,2035,262,0,0,0,0,0,0,0
BAU_Extreme,2036,358.4,353.3,0,0,0,0,0,0
BAU_Extreme,2037,627,100,0,0,0,0,0,0
BAU_Extreme,2038,614.5,0,0,0,0,0,0,0
BAU_Extreme,2039,741.8,0,0,0,0,0,0,0
BAU_Extreme,2040,539.45,0,0,0,0,0,0,0
BAU_Extreme,2041,406.26,0,0,0,0,200,0,0
BAU_Extreme,2042,529.1,0,0,0,0,0,0,0
BAU_Extreme,2043,518.1,0,0,0,0,0,0,0
BAU_Extreme,2044,1172,0,0,0,0,0,0,0
BAU_Extreme,2045,126,0,0,0,0,0,0,0
BAU_Extreme,2046,841.9,0,0,0,0,0,0,0
BAU_Extreme,2047,346.28,0,0,83,0,0,0,0
BAU_Extreme,2048,190,0,0,613,20,0,0,0
BAU_Extreme,2049,5.9,0,0,0,80,0,0,0
BAU_Extreme,2050,0,0,0,0,0,0,0,0
REN100_Normal,2025,0,200,110,0,0,0,0,0
REN100_Normal,2026,48.01,317.6,45,0,0,0,0,0
REN100_Normal,2027,158.4,170,0,0,0,110,0,0
REN100_Normal,2028,50,0,380,0,0,400,0,0
REN100_Normal,2029,271.3,330,0,0,0,0,0,0
REN100_Normal,2030,250,0,0,0,0,269.32,0,0
REN100_Normal,2031,1200,0,0,0,0,0,0,0
REN100_Normal,2032,0,0,0,0,0,0,0,0
REN100_Normal,2033,0,200,1050,0,0,0,0,0
REN100_Normal,2034,0,532.5,300,0,0,0,0,0
REN100_Normal,2035,201,453.3,0,0,0,0,0,0
REN100_Normal,2036,282,118.2,0,0,0,0,0,0
REN100_Normal,2037,651,0,0,0,0,0,0,0
REN100_Normal,2038,543.3,0,0,0,0,0,0,0
REN100_Normal,2039,421.8,0,0,0,0,0,0,0
REN100_Normal,2040,595.7,0,0,0,0,0,0,0
REN100_Normal,2041,280.5,0,0,0,0,0,0,0
REN100_Normal,2042,613.74,0,0,0,0,0,0,0
REN100_Normal,2043,692.6,0,0,0,0,0,0,0
REN100_Normal,2044,551.6,0,0,0,0,0,0,0
REN100_Normal,2045,798.5,0,0,0,0,0,0,0
REN100_Normal,2046,1172,0,0,0,0,0,0,0
REN100_Normal,2047,443.55,0,0,0,10,0,0,0
REN100_Normal,2048,1200,0,0,0,0,0,0,0
REN100_Normal,2049,21.7,0,0,746,70,0,0,0
REN100_Normal,2050,21.7,0,0,0,20,0,0,0
REN100_Extreme,2025,0,200,110,0,0,192.32,0,0
REN100_Extreme,2026,30,317.6,45,0,0,77,0,0
REN100_Extreme,2027,247.71,170,0,0,0,110,0,0
REN100_Extreme,2028,250,330,380,0,0,400,0,0
REN100_Extreme,2029,0,0,0,0,0,400,0,0
REN100_Extreme,2030,250,0,0,50,30,0,0,0
REN100_Extreme,2031,1200,0,0,0,0,0,0,0
REN100_Extreme,2032,0,0,0,0,0,0,0,0
REN100_Extreme,2033,0,405.9,1350,0,0,0,0,0
REN100_Extreme,2034,0,798.1,0,0,0,0,0,0
