Case,Year,Month,Reservoir,Volume_Hm3,Turbine_Hm3,Spill_Hm3,Generation_GWh
BAU_Normal,2025,m1,E003_Mazar,205,206.5316757,55.46832434,72.28608648
BAU_Normal,2025,m1,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2025,m1,E005_Pucara,25,33.37659791,266.6234021,32.70906595
BAU_Normal,2025,m1,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2025,m2,E003_Mazar,222.480623,209.1522699,35.36710714,73.20329446
BAU_Normal,2025,m2,E004_Paute_Molino,60,245.519377,0,381.5780318
BAU_Normal,2025,m2,E005_Pucara,25,31.28686942,268.7131306,30.66113203
BAU_Normal,2025,m2,N039_Paute_Cardenillo,5.0825,0,0,0
BAU_Normal,2025,m3,E003_Mazar,205,279.480623,0,97.81821804
BAU_Normal,2025,m3,E004_Paute_Molino,98.56316376,241.9174592,0,375.9800512
BAU_Normal,2025,m3,E005_Pucara,25,45.07226404,254.927736,44.17081876
BAU_Normal,2025,m3,N039_Paute_Cardenillo,6.0825,0,0,0
BAU_Normal,2025,m4,E003_Mazar,249.0320386,217.9679614,0,76.28878647
BAU_Normal,2025,m4,E004_Paute_Molino,60,257.5311251,0,400.2462903
BAU_Normal,2025,m4,E005_Pucara,25,47.19672479,252.8032752,46.25279029
BAU_Normal,2025,m4,N039_Paute_Cardenillo,7.0825,0,0,0
BAU_Normal,2025,m5,E003_Mazar,205,306.0320386,0,107.1112135
BAU_Normal,2025,m5,E004_Paute_Molino,111.2988279,255.7332107,0,397.4520317
BAU_Normal,2025,m5,E005_Pucara,25,49.2996541,250.7003459,48.31366102
BAU_Normal,2025,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2025,m6,E003_Mazar,232.4048437,234.5951563,0,82.1083047
BAU_Normal,2025,m6,E004_Paute_Molino,60,286.8939842,0,445.8810671
BAU_Normal,2025,m6,E005_Pucara,25,47.43294719,252.5670528,46.48428825
BAU_Normal,2025,m6,N039_Paute_Cardenillo,9.0825,0,0,0
BAU_Normal,2025,m7,E003_Mazar,271.271861,223.1329827,0,78.09654395
BAU_Normal,2025,m7,E004_Paute_Molino,60,224.1329827,0,348.3400106
BAU_Normal,2025,m7,E005_Pucara,25,47.32989272,252.6701073,46.38329487
BAU_Normal,2025,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2025,m8,E003_Mazar,232.5730857,300.6987752,0,105.2445713
BAU_Normal,2025,m8,E004_Paute_Molino,120,241.6987752,0,375.6401799
BAU_Normal,2025,m8,E005_Pucara,25,46.80329801,253.196702,45.86723205
BAU_Normal,2025,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2025,m9,E003_Mazar,238.4901015,228.0429723,28.04001198,79.81504029
BAU_Normal,2025,m9,E004_Paute_Molino,120,257.0829842,0,399.5498047
BAU_Normal,2025,m9,E005_Pucara,25,33.51948959,266.4805104,32.8490998
BAU_Normal,2025,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2025,m10,E003_Mazar,247.9092769,201.7808642,50.79996037,70.62330247
BAU_Normal,2025,m10,E004_Paute_Molino,60,313.5808246,0,487.3568649
BAU_Normal,2025,m10,E005_Pucara,25,30.1241327,269.8758673,29.52165004
BAU_Normal,2025,m10,N039_Paute_Cardenillo,3.0825,0,1,0
