Case,Year,ModelFromNode,ModelToNode,FromNode,ToNode,ExistingCap_MW,NewCircuits,PeakAbsFlow_MW,Utilization,Capex_MUSD
BAU_Normal,2025,ZNX,ZNO,ZNO,ZNX,341.8,0,235.6280699,0.6893741073,0
BAU_Normal,2025,ZNX,ZSX,ZNO,ZSO,664,0,242.6013542,0.3653634852,0
BAU_Normal,2025,ZNO,ZSX,ZNX,ZSO,1732.05,0,623.6120193,0.3600427351,0
BAU_Normal,2025,ZNO,ZSO,ZNX,ZSX,673.65,0,92.92312381,0.1379397667,0
BAU_Normal,2025,ZNO,COL,ZNX,COL,460,0,445.4017028,0.9682645712,0
BAU_Normal,2025,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
BAU_Normal,2025,ZSX,PER,ZSO,PER,50,0,44.75094432,0.8950188865,0
BAU_Normal,2026,ZNX,ZNO,ZNO,ZNX,341.8,0,246.0127609,0.7197564684,0
BAU_Normal,2026,ZNX,ZSX,ZNO,ZSO,664,0,274.1338928,0.4128522482,0
BAU_Normal,2026,ZNO,ZSX,ZNX,ZSO,1732.05,0,636.0833659,0.3672430738,0
BAU_Normal,2026,ZNO,ZSO,ZNX,ZSX,673.65,0,114.144832,0.1694423394,0
BAU_Normal,2026,ZNO,COL,ZNX,COL,460,0,417.7272525,0.9081027229,0
BAU_Normal,2026,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
BAU_Normal,2026,ZSX,PER,ZSO,PER,50,0,47.23916166,0.9447832331,0
BAU_Normal,2027,ZNX,ZNO,ZNO,ZNX,341.8,0,233.7010212,0.6837361651,0
BAU_Normal,2027,ZNX,ZSX,ZNO,ZSO,664,0,257.4017561,0.3876532471,0
BAU_Normal,2027,ZNO,ZSX,ZNX,ZSO,1732.05,0,671.5071426,0.3876950103,0
BAU_Normal,2027,ZNO,ZSO,ZNX,ZSX,673.65,0,92.43499104,0.1372151578,0
BAU_Normal,2027,ZNO,COL,ZNX,COL,460,0,418.7975934,0.9104295508,0
BAU_Normal,2027,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
BAU_Normal,2027,ZSX,PER,ZSO,PER,50,0,46.83173485,0.936634697,0
BAU_Normal,2028,ZNX,ZNO,ZNO,ZNX,341.8,0,328.6422697,0.9615045924,0
BAU_Normal,2028,ZNX,ZSX,ZNO,ZSO,664,0,267.4598206,0.4028009346,0
BAU_Normal,2028,ZNO,ZSX,ZNX,ZSO,1732.05,0,776.2265904,0.4481548399,0
BAU_Normal,2028,ZNO,ZSO,ZNX,ZSX,673.65,0,82.53353673,0.1225169401,0
BAU_Normal,2028,ZNO,COL,ZNX,COL,460,0,397.5215822,0.8641773526,0
BAU_Normal,2028,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
BAU_Normal,2028,ZSX,PER,ZSO,PER,50,0,46.69629115,0.933925823,0
BAU_Normal,2029,ZNX,ZNO,ZNO,ZNX,341.8,0,326.6547261,0.9556896609,0
BAU_Normal,2029,ZNX,ZSX,ZNO,ZSO,664,0,258.7891094,0.3897426347,0
BAU_Normal,2029,ZNO,ZSX,ZNX,ZSO,1732.05,0,808.8498326,0.4669898863,0
BAU_Normal,2029,ZNO,ZSO,ZNX,ZSX,673.65,0,68.47127088,0.1016422042,0
BAU_Normal,2029,ZNO,COL,ZNX,COL,460,0,417.9049622,0.9084890482,0
BAU_Normal,2029,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
BAU_Normal,2029,ZSX,PER,ZSO,PER,50,0,44.68445181,0.8936890361,0
BAU_Normal,2030,ZNX,ZNO,ZNO,ZNX,341.8,0,272.2771855,0.7965979682,0
BAU_Normal,2030,ZNX,ZSX,ZNO,ZSO,664,0,220.6122759,0.3322474035,0
BAU_Normal,2030,ZNO,ZSX,ZNX,ZSO,1732.05,0,679.4824617,0.3922995651,0
BAU_Normal,2030,ZNO,ZSO,ZNX,ZSX,673.65,0,98.48670788,0.1461986312,0
BAU_Normal,2030,ZNO,COL,ZNX,COL,460,0,453.6419886,0.9861782362,0
BAU_Normal,2030,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
BAU_Normal,2030,ZSX,PER,ZSO,PER,50,0,44.84823625,0.8969647251,0
BAU_Normal,2031,ZNX,ZNO,ZNO,ZNX,341.8,0,305.7719208,0.8945930978,0
BAU_Normal,2031,ZNX,ZSX,ZNO,ZSO,664,0,236.425055,0.3560618298,0
BAU_Normal,2031,ZNO,ZSX,ZNX,ZSO,1732.05,0,459.3888388,0.2652283934,0
BAU_Normal,2031,ZNO,ZSO,ZNX,ZSX,673.65,0,196.6560809,0.2919261945,0
BAU_Normal,2031,ZNO,COL,ZNX,COL,460,0,389.7244828,0.8472271365,0
BAU_Normal,2031,ZSX,ZSO,ZSO,ZSX,1308.333333,5,2615.98943,0.9997411834,392.0243268
BAU_Normal,2031,ZSX,PER,ZSO,PER,50,0,46.0957633,0.921915266,0
BAU_Normal,2032,ZNX,ZNO,ZNO,ZNX,341.8,0,279.3205953,0.8172047845,0
BAU_Normal,2032,ZNX,ZSX,ZNO,ZSO,664,0,204.0063967,0.3072385492,0
BAU_Normal,2032,ZNO,ZSX,ZNX,ZSO,1732.05,0,428.2707943,0.2472623737,0
BAU_Normal,2032,ZNO,ZSO,ZNX,ZSX,673.65,0,157.4075916,0.2336637595,0
BAU_Normal,2032,ZNO,COL,ZNX,COL,460,0,449.2444328,0.9766183322,0
BAU_Normal,2032,ZSX,ZSO,ZSO,ZSX,1308.333333,5,2585.583184,0.9881209621,0
BAU_Normal,2032,ZSX,PER,ZSO,PER,50,0,44.80963988,0.8961927976,0
BAU_Normal,2033,ZNX,ZNO,ZNO,ZNX,341.8,0,304.8359459,0.8918547277,0
BAU_Normal,2033,ZNX,ZSX,ZNO,ZSO,664,0,190.8272556,0.2873904452,0
BAU_Normal,2033,ZNO,ZSX,ZNX,ZSO,1732.05,0,480.1160909,0.2771952835,0
BAU_Normal,2033,ZNO,ZSO,ZNX,ZSX,673.65,0,151.8695057,0.2254427459,0
BAU_Normal,2033,ZNO,COL,ZNX,COL,460,0,438.222292,0.9526571565,0
BAU_Normal,2033,ZSX,ZSO,ZSO,ZSX,1308.333333,5,2616.666667,1,0
BAU_Normal,2033,ZSX,PER,ZSO,PER,50,0,48.6720663,0.973441326,0
BAU_Normal,2034,ZNX,ZNO,ZNO,ZNX,341.8,0,271.9765388,0.7957183697,0
