plant_id,plant_name,company_name,technology,energy_type,nominal_capacity_mw,effective_capacity_mw,longitude,latitude,planning_zone,province,canton,zone_confidence
26,Selva Alegre,UNACEM,Térmica,No Renovable,29.28,24.3,-78.30952871750172,0.2414623785447867,ZNX,Imbabura,Otavalo,high
29,Saymirín,Elecaustro,Hidráulica,Renovable,15.52,15.52,-79.00510703049974,-2.796591717841586,ZSX,Azuay,Cuenca,high
30,Saucay,Elecaustro,Hidráulica,Renovable,24.0,24.0,-79.01069154355345,-2.75164171300842,ZSX,Azuay,Cuenca,high
33,Santa Rosa,CELEC-Termopichincha,Térmica,No Renovable,71.1,51.0,-78.5362537103899,-0.3643342481545216,ZNX,Pichincha,Mejía,high
36,San Miguel de Car,E.E. Norte,Hidráulica,Renovable,2.95,2.52,-77.8003300455868,0.8067019183119201,ZNX,Carchi,Tulcán,high
41,San Carlos,San Carlos,Biomasa,Renovable,78.0,73.6,-79.4375558019941,-2.212121578174877,ZSO,Guayas,Coronel marcelino maridueña,medium
105,La Playa,E.E. Norte,Hidráulica,Renovable,1.43,1.23,-77.70498968498332,0.8422901173530591,ZNX,Carchi,Tulcán,high
431,Jaramijó,CELEC-Termomanabí,Térmica,No Renovable,149.22,128.88,-80.63567492061846,-0.9499477333646248,ZNO,Manabí,Jaramijó,high
438,Jivino II,CELEC-Termopichincha,Térmica,No Renovable,11.0,10.0,-76.84553503617921,-0.1544987903376657,ZNX,Sucumbíos,Shushufindi,high
440,Jivino I,CELEC-Termopichincha,Térmica,No Renovable,7.5,5.4,-76.8607182040813,-0.1220319571151676,ZNX,Sucumbíos,Shushufindi,high
441,Celso Castellanos,CELEC-Termopichincha,Térmica,No Renovable,10.0,7.2,-76.88729598089745,0.0881108554868224,ZNX,Sucumbíos,Lago agrio,high
442,Payamino,CELEC-Termopichincha,Térmica,No Renovable,2.5,1.8,-77.17684653871434,-0.5404509431696396,ZNX,Orellana,Francisco de orellana,high
443,Villonaco,CELEC-Gensur,Eólica,Renovable,16.5,16.5,-79.25094768392411,-3.996966293691768,ZSX,Loja,Loja,high
445,Buenos Aires,E.E. Norte,Hidráulica,Renovable,0.98,0.95,-78.3137967835289,0.620862688987004,ZNX,Imbabura,San miguel de urcuquí,high
446,Paragachi,Valsolar,Solar,Renovable,1.0,1.0,-77.9621528862368,0.4291225306618866,ZNX,Imbabura,Pimampiro,high
497,Gualaceo,Elecaustro,Hidráulica,Renovable,0.97,0.97,-78.74340709867552,-2.9022961639867115,ZSX,Azuay,Gualaceo,high
498,Manduriacu,CELEC-Coca Codo Sinclair,Hidráulica,Renovable,63.36,65.0,-78.91100854949623,0.2169390557974051,ZNO,Imbabura,Cotacachi,medium
499,Espejo,Municipio Cantón Espejo,Hidráulica,Renovable,0.44,0.4,-78.14804424950792,0.8086770930229641,ZNX,Carchi,Espejo,high
500,Alazán,CELEC-Hidroazogues,Hidráulica,Renovable,6.23,6.23,-78.65763323119887,-2.574358372251449,ZSX,Cañar,Azogues,high
501,Hidrosanbartolo,Hidrosanbartolo,Hidráulica,Renovable,49.98,49.95,-78.41214594219943,-2.750304333406365,ZSX,Morona Santiago,Santiago,high
