line_id,from_bus_name,to_bus_name,from_bus,to_bus,reactance_pu,new_line_cost_musd,existing_circuits,max_circuits,existing_transfer_mw,reconductored_transfer_mw,reconductored_reactance_pu,reconductoring_cost_musd,built_reconductoring_cost_musd,geographic_zone_factor
Line_3,B14_Taday,B10_Totoras,Node_5,Node_1,0.06053546071,289.0206,1,3,300.0509669,441.2514219,0.06356223375,95.376798,361.27575,1
Line_4,B12_Pomasqui,B11_SantaRosa,Node_3,Node_2,0.02159356698,87.7188,2,2,282.2025222,415.0037091,0.02267324533,28.947204,109.6485,1
Line_6,B15_Inga230,B11_SantaRosa,Node_7,Node_2,0.0198358912,45.2438,2,2,486.2524761,715.0771707,0.02082768576,14.930454,56.55475,1
Line_8,B15_Inga230,B12_Pomasqui,Node_7,Node_3,0.01196993329,54.2926,2,2,486.251,715.075,0.01256842995,17.916558,67.86575,1
Line_9,B9_Riobamba,B14_Taday,Node_21,Node_5,0.06284638494,219.51955,2,2,290.7017797,427.5026172,0.06598870419,72.4414515,274.3994375,1
Line_10,B15_El_Inga,B16_Tisaleo,Node_6,Node_8,0.02183999866,49.335,1,3,736.1215932,1082.531755,0.0229319986,16.28055,61.66875,1
Line_11,B18_SanRafael,B15_El_Inga,Node_11,Node_6,0.00902719982,321.73125,2,3,736.1215932,1082.531755,0.009478559811,106.1713125,402.1640625,1
Line_12,B16_Tisaleo,B17_Chorrillos_500,Node_8,Node_10,0.02911999822,21.85,1,3,736.1215932,1082.531755,0.03057599813,7.2105,27.3125,1
Line_13,B17_Chorrillos230,B4_Pascuales,Node_9,Node_16,0.001759825274,9.1732,2,3,440.2006966,647.3539656,0.001847816538,3.027156,11.4665,1
Line_14,B1_SantoDomingo,B11_SantaRosa,Node_12,Node_2,0.03631639853,299.6582,2,3,290.7017797,427.5026172,0.03813221846,98.887206,374.57275,1
Line_17,B1_SantoDomingo138,B13_Esmeraldas,Node_13,Node_4,0.1940933913,299.6582,2,3,96.47506522,141.8750959,0.2037980609,98.887206,374.57275,1
Line_18,B1_SantoDomingo,B2_Baba,Node_12,Node_14,0.05539776385,100.44435,1,3,300.0509669,441.2514219,0.05816765204,33.1466355,125.5554375,1
Line_20,B2_Baba,B3_Quevedo,Node_14,Node_15,0.04020805284,69.66305,1,3,300.0509669,441.2514219,0.04221845549,22.9888065,87.0788125,1
Line_21,B17_Chorrillos230,B3_Quevedo,Node_9,Node_15,0.1298273355,223.7229,1,3,300.0509669,441.2514219,0.1363187023,73.828557,279.653625,1.05
Line_22,B4_Pascuales,B5_Dos_Cerritos,Node_16,Node_17,0.008935122751,16.037,1,3,366.0438134,538.2997256,0.009381878888,5.29221,20.04625,1
Line_23,B4_Pascuales,B6_Milagro,Node_16,Node_18,0.04717744514,85.53975,1,3,300.0509669,441.2514219,0.0495363174,28.2281175,106.9246875,1
Line_24,B4_Pascuales,B8_Molino,Node_16,Node_20,0.08421353251,305.3833,2,2,290.5324638,427.2536232,0.08842420913,100.776489,381.729125,1.05
Line_25,B5_Dos_Cerritos,B6_Milagro,Node_17,Node_18,0.03833168,69.500105,1,3,300.0509669,441.2514219,0.040248264,22.93503465,86.87513125,1
Line_27,B6_Milagro,B7_Zhoray,Node_18,Node_19,0.05300303921,195.5425,2,2,290.5324638,427.2536232,0.05565319117,64.529025,244.428125,1
Line_28,B7_Zhoray,B8_Molino,Node_19,Node_20,0.006586956326,24.30105,2,2,290.5324638,427.2536232,0.006916304142,8.0193465,30.3763125,1
Line_31,B8_Molino,B14_Taday,Node_20,Node_5,0.01817999966,79.11895,2,3,300.0509669,441.2514219,0.01908899965,26.1092535,98.8986875,1
Line_32,B9_Riobamba,B10_Totoras,Node_21,Node_1,0.01989748888,69.50105,2,2,290.7017797,427.5026172,0.02089236332,22.9353465,86.8763125,1
Line_33,B17_Chorrillos_500,B17_Chorrillos230,Node_10,Node_9,0.0120000001,180,2,2,212.5,312.5,0.01260000011,59.4,225,1
Line_34,B15_El_Inga,B15_Inga230,Node_6,Node_7,0.007500000298,100,2,2,340,500,0.007875000313,33,125,1.05
Line_35,B1_SantoDomingo,B1_SantoDomingo138,Node_12,Node_13,0.01999999955,50,2,3,127.5,187.5,0.02099999953,16.5,62.5,1
Line_36,B22_Zamora,B14_Taday,Node_22,Node_5,0.01999999955,100,0,4,850,1250,0.02099999953,33,125,1
Line_39,B23_Pasaje,B22_Zamora,Node_23,Node_22,0.01999999955,200,0,4,850,1250,0.02099999953,66,250,1
Line_40,B23_Pasaje,B17_Chorrillos_500,Node_23,Node_9,0.01999999955,250,1,4,425,625,0.02099999953,82.5,312.5,1
Line_41,B23_Pasaje,B24_Piura,Node_23,Node_24,0.01999999955,250,1,4,425,625,0.02099999953,82.5,312.5,1
Line_42,B17_Chorrillos230,B14_Taday,Node_9,Node_5,0.01999999955,100,0,4,850,1250,0.02099999953,33,125,1
