block,field,description,unit,public_scope
national.summary,Hydrology,Hydrological condition.,,browser bundle
national.summary,Scenario,Policy pathway.,,browser bundle
national.summary,EnsembleN,Number of source realizations summarized by the aggregate statistic.,,browser bundle
national.summary,Representative_w,Representative realization identifier used for the displayed trajectory.,,browser bundle
national.summary,MeanTotalCost_MUSD,Mean total cost musd across the source ensemble.,MUSD,browser bundle
national.summary,P10TotalCost_MUSD,P10 al cost musd across the source ensemble.,MUSD,browser bundle
national.summary,P50TotalCost_MUSD,P50 al cost musd across the source ensemble.,MUSD,browser bundle
national.summary,P90TotalCost_MUSD,P90 al cost musd across the source ensemble.,MUSD,browser bundle
national.summary,RepTotalCost_MUSD,Representative-realization total cost musd.,MUSD,browser bundle
national.summary,MeanCO2_kt,Mean co2 kt across the source ensemble.,ktCO2,browser bundle
national.summary,P10CO2_kt,P10 kt across the source ensemble.,ktCO2,browser bundle
national.summary,P50CO2_kt,P50 kt across the source ensemble.,ktCO2,browser bundle
national.summary,P90CO2_kt,P90 kt across the source ensemble.,ktCO2,browser bundle
national.summary,RepCO2_kt,Representative-realization co2 kt.,ktCO2,browser bundle
national.summary,MeanENS_GWh,Mean ens gwh across the source ensemble.,GWh,browser bundle
national.summary,P10ENS_GWh,P10 gwh across the source ensemble.,GWh,browser bundle
national.summary,P50ENS_GWh,P50 gwh across the source ensemble.,GWh,browser bundle
national.summary,P90ENS_GWh,P90 gwh across the source ensemble.,GWh,browser bundle
national.summary,RepENS_GWh,Representative-realization ens gwh.,GWh,browser bundle
national.summary,MeanCAPEX_MUSD,Mean capex musd across the source ensemble.,MUSD,browser bundle
national.summary,MeanOPEX_MUSD,Mean opex musd across the source ensemble.,MUSD,browser bundle
national.summary,MeanTransmissionCost_MUSD,Mean transmission cost musd across the source ensemble.,MUSD,browser bundle
national.summary,MeanEmissionCost_MUSD,Mean emission cost musd across the source ensemble.,MUSD,browser bundle
national.summary,MeanReserveCost_MUSD,Mean reserve cost musd across the source ensemble.,MUSD,browser bundle
national.summary,MeanPNSCost_MUSD,Mean pnscost musd across the source ensemble.,MUSD,browser bundle
national.summary,MeanImports_GWh,Mean imports gwh across the source ensemble.,GWh,browser bundle
national.summary,ProbENSPositive_pct,Share of source realizations with positive energy not served.,%,browser bundle
national.summary,AF_mean,AF mean.,p.u.,browser bundle
national.summary,AF_p10,AF p10.,p.u.,browser bundle
national.summary,AF_p50,AF p50.,p.u.,browser bundle
national.summary,AF_p90,AF p90.,p.u.,browser bundle
national.summary,ReservoirMean_Hm3,Reservoir Mean Hm3.,hm3,browser bundle
national.summary,Correlation_AF_CO2,Correlation between hydropower availability and cumulative CO2 across source realizations.,,browser bundle
national.summary,Correlation_AF_Imports,Correlation between hydropower availability and imports across source realizations.,,browser bundle
national.summary,Correlation_AF_PNS,Correlation between hydropower availability and energy not served across source realizations.,,browser bundle
national.summary,MeanInstalledCapacity2050_MW,Mean installed capacity2050 mw across the source ensemble.,MW,browser bundle
national.summary,P10InstalledCapacity2050_MW,P10 talled capacity2050 mw across the source ensemble.,MW,browser bundle
national.summary,P50InstalledCapacity2050_MW,P50 talled capacity2050 mw across the source ensemble.,MW,browser bundle
national.summary,P90InstalledCapacity2050_MW,P90 talled capacity2050 mw across the source ensemble.,MW,browser bundle
national.summary,RepInstalledCapacity2050_MW,Representative-realization installed capacity2050 mw.,MW,browser bundle
national.uncertainty,Hydrology,Hydrological condition.,,browser bundle
national.uncertainty,Scenario,Policy pathway.,,browser bundle
national.uncertainty,Metric,Metric name.,,browser bundle
national.uncertainty,Mean,Mean  across the source ensemble.,,browser bundle
national.uncertainty,P10,P10  across the source ensemble.,,browser bundle
national.uncertainty,P50,P50  across the source ensemble.,,browser bundle
national.uncertainty,P90,P90  across the source ensemble.,,browser bundle
national.uncertainty,Min,Min.,,browser bundle
national.uncertainty,Max,Max.,,browser bundle
national.uncertainty,EnsembleN,Number of source realizations summarized by the aggregate statistic.,,browser bundle
national.annualRep,Hydrology,Hydrological condition.,,browser bundle
national.annualRep,Scenario,Policy pathway.,,browser bundle
national.annualRep,Representative_w,Representative realization identifier used for the displayed trajectory.,,browser bundle
national.annualRep,Year,Planning year.,year,browser bundle
